Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,non stop classification greedy,True,1,3.36959171295166,0.0,2
2401,non stop classification greedy,False,2,208.24601364135742,15.304876549999904,6
2411,non stop classification greedy,True,3,27.709359884262085,31.878021699999977,24
24147,non stop classification greedy,True,4,31.519904613494873,29.583730900000006,20
AAAI 2016,non stop classification greedy,True,6,95.24036598205566,88.60042767676158,17
AAAI 2024 - SMAPF-PO,non stop classification greedy,True,3,37.78483867645264,20.56451519999996,29
AAAI 2024 Submission,non stop classification greedy,True,4,63.31981348991394,36.59301999999997,14
aaai_docs,non stop classification greedy,True,4,38.08746004104614,36.04241259999996,21
Beyond,non stop classification greedy,True,6,50.297614097595215,40.41086402499997,20
BOK,non stop classification greedy,False,5,53.216734886169434,39.564396675000076,18
CompatabilityAAAI21,non stop classification greedy,True,2,15.463373899459839,13.219128799999993,8
Energy-Efficient Heuristic Search,non stop classification greedy,True,1,4.4489099979400635,0.0,1
Explainable Fair Revenue Allocation (Student Abstract),non stop classification greedy,True,1,4.056581020355225,0.0,1
Fast,non stop classification greedy,True,1,5.337690114974976,0.0,3
Geometric,non stop classification greedy,True,4,80.53644299507141,17.574687360000013,14
ICAPS - PP-RTDP,non stop classification greedy,True,1,7.572110414505005,0.0,2
ICAPS 2021 - Demo track  - Solving Angry Birds with PDDL+ (1),non stop classification greedy,True,2,12.552233457565308,9.107389841044025,10
NoaAgmonPaper1,non stop classification greedy,True,5,60.30926060676575,48.03853860000001,18
Stronger Privacy Preserving Projections for Multi-Agent Planning,non stop classification greedy,False,5,41.10098075866699,46.103257600000006,10
Token-Level,non stop classification greedy,True,5,53.01455783843994,38.945391749999956,24
ttxxhhfsxhbzjnsmspvmpqnjmhrrkqmh,non stop classification greedy,False,6,87.10861587524414,44.01951519999989,28
