Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,classifciation and regreession model greedy,False,2,6.918245792388916,17.852799999999945,5
24147,classifciation and regreession model greedy,True,1,2.1329801082611084,49.04446199999998,9
A Comparison of,classifciation and regreession model greedy,False,2,8.382200479507446,20.659515199999987,9
A Critical Look,classifciation and regreession model greedy,True,2,5.8587141036987305,18.036143999999993,11
A Domain Generalization,classifciation and regreession model greedy,False,1,3.672978639602661,2.5353304000000065,5
A Knowledge Driven,classifciation and regreession model greedy,False,7,23.370672702789307,58.11302079999999,18
A Multilayer Convolutional,classifciation and regreession model greedy,True,5,13.547545909881592,67.33001229999999,26
A Natural Language,classifciation and regreession model greedy,True,7,31.327848434448242,52.80370202500001,21
A Question-Answering Approach,classifciation and regreession model greedy,True,9,27.08059787750244,59.578074775000005,27
A Student-Teacher Architecture,classifciation and regreession model greedy,True,4,11.36970329284668,56.4948974,26
A Unified Implicit,classifciation and regreession model greedy,True,5,15.245764255523682,34.53705027500004,18
AUPCR Maximizing Matchings,classifciation and regreession model greedy,True,5,17.841535568237305,49.24045440000002,16
Abusive Language Detection,classifciation and regreession model greedy,True,4,13.767916202545166,72.30672370250012,34
Accelerating the Development,classifciation and regreession model greedy,False,8,27.832560777664185,75.84727279999996,26
Accurate and Interpretable,classifciation and regreession model greedy,False,6,19.520939350128174,57.45277279999999,24
Action Branching Architectures,classifciation and regreession model greedy,True,2,4.939448833465576,21.282401599999986,26
BOK,classifciation and regreession model greedy,False,6,23.14775538444519,46.572855874999924,21
Balanced Linear Contextual,classifciation and regreession model greedy,True,3,8.540101051330566,41.36477279999997,12
Beyond,classifciation and regreession model greedy,True,7,21.442911863327026,58.33425042499994,26
Bidirectional Temporal Plan,classifciation and regreession model greedy,True,4,15.041276216506958,42.85448783999995,17
Capturing Delayed Feedback,classifciation and regreession model greedy,True,5,18.48361897468567,51.345069624999994,25
Cisco at AAAI-CAD21,classifciation and regreession model greedy,True,2,5.7284016609191895,21.81282080000001,14
Crowdsourcing real-time viral,classifciation and regreession model greedy,True,4,20.026867866516113,35.084651599999965,20
Deep Open Intent,classifciation and regreession model greedy,True,5,13.82305121421814,30.688804175000044,35
Deep Spiking Neural,classifciation and regreession model greedy,True,5,37.97438955307007,53.82003040000001,30
Delving into Sample,classifciation and regreession model greedy,False,3,10.573004722595215,48.59003039999993,13
Detection of social,classifciation and regreession model greedy,True,7,18.3169162273407,37.87531399999983,30
Deterministic and Discriminative,classifciation and regreession model greedy,True,3,14.113738298416138,17.80498654850001,7
Discriminative Sentence Modeling,classifciation and regreession model greedy,False,6,18.411118984222412,50.358269150000666,23
Evaluating Digital Agriculture,classifciation and regreession model greedy,False,5,16.424203634262085,48.030272800000034,20
Evaluating Sequence-to-Sequence Learning,classifciation and regreession model greedy,True,5,12.739731788635254,47.452272799999946,29
Evaluation of Fake,classifciation and regreession model greedy,True,4,13.097604036331177,21.67495759999997,22
Evaluation of a,classifciation and regreession model greedy,True,7,21.339181900024414,52.18222767499998,25
Evolutionarily-Curated Curriculum Learning,classifciation and regreession model greedy,True,2,3.569483757019043,43.71566039999999,2
Expected Value of,classifciation and regreession model greedy,True,3,10.384466171264648,22.333830799999973,9
Explainable Failure Predictions,classifciation and regreession model greedy,True,6,20.491519451141357,96.50251569375004,13
Explaining Reward Functions,classifciation and regreession model greedy,False,5,15.589691162109375,36.474886825,19
Exploiting Cross-Lingual Subword,classifciation and regreession model greedy,True,1,4.146548271179199,0.0,1
Exploiting Language Models,classifciation and regreession model greedy,True,3,10.537907123565674,30.404537759999982,9
Exploiting Multiple Abstractions,classifciation and regreession model greedy,False,6,41.329042196273804,45.060348675,24
Exploring Gameplay With,classifciation and regreession model greedy,True,5,13.545143842697144,57.40019319999992,17
Exploring the Efficacy,classifciation and regreession model greedy,True,4,14.403167009353638,66.88919464775998,5
Fair Conformal Predictors,classifciation and regreession model greedy,True,4,29.569233655929565,40.0,5
