Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,classifciation and regreession model greedy,True,1,6.648649215698242,7.501608300000015,8
24147,classifciation and regreession model greedy,True,4,20.79292345046997,52.72589270000006,30
AAAI 2016,classifciation and regreession model greedy,True,6,65.74620699882507,110.61308947676163,26
AAAI 2024 - SMAPF-PO,classifciation and regreession model greedy,True,7,62.20473575592041,84.01029696699997,31
AAAI 2024 Submission,classifciation and regreession model greedy,True,4,46.2124981880188,36.59301999999997,14
aaai_docs,classifciation and regreession model greedy,True,3,17.327354192733765,36.04241259999996,20
Beyond,classifciation and regreession model greedy,False,7,41.417882442474365,53.084609099999966,21
BOK,classifciation and regreession model greedy,True,1,5.5477118492126465,5.110660800000005,4
CompatabilityAAAI21,classifciation and regreession model greedy,True,4,21.216892957687378,33.21912879999999,10
Energy-Efficient Heuristic Search,classifciation and regreession model greedy,True,1,2.102074146270752,3.2004154500000084,2
Explainable Fair Revenue Allocation (Student Abstract),classifciation and regreession model greedy,True,2,8.689226627349854,10.0,10
Fast,classifciation and regreession model greedy,True,1,2.940627336502075,12.553515199999993,22
Geometric,classifciation and regreession model greedy,True,1,13.922751188278198,2.5058303999999794,1
ICAPS - PP-RTDP,classifciation and regreession model greedy,True,1,4.2493767738342285,12.50651520000008,19
ICAPS 2021 - Demo track  - Solving Angry Birds with PDDL+ (1),classifciation and regreession model greedy,True,2,7.411208152770996,18.615022800000048,16
Token-Level,classifciation and regreession model greedy,True,4,22.635568618774414,38.945391749999956,23
ttxxhhfsxhbzjnsmspvmpqnjmhrrkqmh,classifciation and regreession model greedy,True,3,18.121131896972656,59.96338951000003,22
