Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,heuristic greedy,True,1,2.426537036895752,10.0,11
2411,heuristic greedy,True,2,7.346600294113159,20.0,17
24147,heuristic greedy,True,3,10.173508644104004,31.255636400000043,10
AAAI 2016,heuristic greedy,True,9,56.23349928855896,114.73737659347822,17
AAAI 2024 - SMAPF-PO,heuristic greedy,True,6,32.63619065284729,80.45755456699997,12
AAAI 2024 Submission,heuristic greedy,True,5,40.118897676467896,60.55270839999994,10
aaai_docs,heuristic greedy,True,5,21.80293607711792,51.283199999999965,10
Beyond,heuristic greedy,True,4,12.856507778167725,40.0,13
BOK,heuristic greedy,True,1,2.389249086380005,10.0,13
CompatabilityAAAI21,heuristic greedy,True,1,2.184692621231079,10.0,4
Energy-Efficient Heuristic Search,heuristic greedy,True,1,1.7703831195831299,10.0,11
Explainable Fair Revenue Allocation (Student Abstract),heuristic greedy,True,2,5.1755311489105225,20.0,11
Fast,heuristic greedy,True,1,1.902367353439331,10.0,16
Geometric,heuristic greedy,True,1,9.830692052841187,10.0,20
ICAPS - PP-RTDP,heuristic greedy,True,1,2.6955277919769287,10.0,12
ICAPS 2021 - Demo track  - Solving Angry Birds with PDDL+ (1),heuristic greedy,True,4,11.701622724533081,42.03419999999994,17
Stronger Privacy Preserving Projections for Multi-Agent Planning,heuristic greedy,True,8,25.092720985412598,148.5710262510001,14
Token-Level,heuristic greedy,True,5,20.418458938598633,55.70903039999996,14
