Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,model greedy,False,1,3.409923791885376,7.852799999999945,4
24147,model greedy,True,1,1.9626655578613281,49.04446199999998,9
A Comparison of,model greedy,False,1,4.07758903503418,10.659515199999987,8
A Critical Look,model greedy,True,2,5.567296028137207,18.036143999999993,11
A Domain Generalization,model greedy,False,0,0.025429725646972656,0.0,4
A Knowledge Driven,model greedy,False,1,3.3196780681610107,5.325347199999982,12
A Multilayer Convolutional,model greedy,True,5,12.592066049575806,67.33001229999999,26
A Natural Language,model greedy,False,3,13.789196968078613,16.671823224999983,17
A Question-Answering Approach,model greedy,False,1,3.2398507595062256,5.556257600000009,19
A Student-Teacher Architecture,model greedy,True,4,10.685086965560913,56.4948974,26
A Unified Implicit,model greedy,True,5,14.400427341461182,34.53705027500004,18
AUPCR Maximizing Matchings,model greedy,True,5,16.902528524398804,49.24045440000002,16
Abusive Language Detection,model greedy,False,2,7.949051141738892,64.26928578750011,32
Accelerating the Development,model greedy,False,2,6.634370565414429,15.847272799999956,20
Accurate and Interpretable,model greedy,False,2,6.2391908168792725,17.45277279999999,20
Action Branching Architectures,model greedy,True,2,4.583583831787109,21.282401599999986,26
BOK,model greedy,False,3,11.131667852401733,27.179360799999927,18
Balanced Linear Contextual,model greedy,True,3,8.212701559066772,41.36477279999997,12
Beyond,model greedy,False,2,6.513291597366333,15.660505349999937,21
Bidirectional Temporal Plan,model greedy,True,4,14.38871455192566,42.85448783999995,17
Capturing Delayed Feedback,model greedy,True,5,17.69966697692871,51.345069624999994,25
Cisco at AAAI-CAD21,model greedy,True,2,5.429437875747681,21.81282080000001,14
Crowdsourcing real-time viral,model greedy,False,1,5.4299774169921875,13.790515200000016,17
Deep Open Intent,model greedy,False,2,6.183877468109131,20.77498030000004,32
Deep Spiking Neural,model greedy,False,2,17.75948929786682,23.820030400000007,27
Delving into Sample,model greedy,False,2,6.772663354873657,38.59003039999993,12
Detection of social,model greedy,False,2,5.54577898979187,13.237216799999942,25
Deterministic and Discriminative,model greedy,True,3,13.663772344589233,17.80498654850001,7
Discriminative Sentence Modeling,model greedy,False,2,5.896631717681885,19.549272799999983,19
Evaluating Digital Agriculture,model greedy,False,2,6.266176223754883,18.030272800000034,17
Evaluating Sequence-to-Sequence Learning,model greedy,False,4,11.1116623878479,37.452272799999946,28
Evaluation of Fake,model greedy,True,4,12.424332857131958,21.67495759999997,22
Evaluation of a,model greedy,False,2,6.446377277374268,17.108492825000013,20
Evolutionarily-Curated Curriculum Learning,model greedy,True,2,3.2731990814208984,43.71566039999999,2
Expected Value of,model greedy,True,3,9.962438344955444,22.333830799999973,9
Explainable Failure Predictions,model greedy,False,1,3.732577085494995,2.5353303999999923,8
Explaining Reward Functions,model greedy,False,2,5.981829643249512,18.682151599999997,16
Exploiting Cross-Lingual Subword,model greedy,True,1,3.9394404888153076,0.0,1
Exploiting Language Models,model greedy,True,3,10.074175357818604,30.404537759999982,9
Exploiting Multiple Abstractions,model greedy,False,4,27.034300088882446,30.716655075000006,22
Exploring Gameplay With,model greedy,True,5,12.726964235305786,57.40019319999992,17
Exploring the Efficacy,model greedy,True,4,13.62254548072815,66.88919464775998,5
Fair Conformal Predictors,model greedy,True,4,28.789948225021362,40.0,5
Fast and Knowledge-Free,model greedy,False,1,5.00657320022583,12.553515199999993,27
Few-Shot Learning for,model greedy,True,2,3.822007417678833,13.132669050000004,3
Finding All Bayesian,model greedy,True,3,9.390160083770752,69.06986480000009,22
Fine-Grained Car Detection,model greedy,True,4,11.95133113861084,37.709312800000035,17
Fine-grained Retrieval Prompt,model greedy,True,4,16.67476224899292,22.481623999999996,7
Fixation Maximization in,model greedy,True,3,11.258118867874146,25.161957600000022,9
Forecasting with Sparse,model greedy,True,4,25.555323600769043,54.044908800000044,15
Frame and Feature-Context,model greedy,True,8,58.391873598098755,52.22461662500008,20
Game-theoretic Approach for,model greedy,False,4,17.031617641448975,31.853325999999925,33
Generalized Planning in,model greedy,False,1,4.292391300201416,5.282757599999968,8
Generative structured normalizing,model greedy,True,5,13.71851658821106,34.00014294999994,17
Geometric,model greedy,True,3,37.90768837928772,17.574687360000013,17
Harnessing the Power,model greedy,True,5,20.119466066360474,60.90896589999993,22
Hierarchical Average Reward,model greedy,True,4,13.483500957489014,34.507772799999955,11
Human Capabilities as,model greedy,False,2,5.6235511302948,12.693628799999999,18
Human in the,model greedy,False,2,7.7227678298950195,13.955143999999962,12
Humans_ Assessment of,model greedy,True,6,13.124442338943481,61.3127764000007,23
Hyperbolic Graph Diffusion,model greedy,False,2,7.398916482925415,20.9433152,30
Identification of Abnormal,model greedy,True,5,15.713613748550415,36.413895190000034,22
Identifying Unsafe Videos,model greedy,True,1,1.2151644229888916,7.573257599999977,3
Improving Model Robustness,model greedy,False,2,7.420266389846802,21.7384955,28
Improving Multi-Document Summarization,model greedy,True,3,7.154911041259766,48.322541599999965,23
Improving Neural Question,model greedy,True,3,7.867090463638306,32.42067200000005,11
