Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,non stop heuristic greedy,True,5,20.20350694656372,56.42679999999996,13
24147,non stop heuristic greedy,True,5,20.46015954017639,50.0,32
A Comparison of,non stop heuristic greedy,True,5,27.544809103012085,53.871915199999876,19
A Critical Look,non stop heuristic greedy,True,1,3.7642152309417725,10.0,5
A Domain Generalization,non stop heuristic greedy,True,3,12.266584634780884,30.096600000000052,15
A Knowledge Driven,non stop heuristic greedy,True,14,53.75499367713928,140.65269439999997,98
A Multilayer Convolutional,non stop heuristic greedy,True,4,13.395038843154907,43.52430642499999,30
A Natural Language,non stop heuristic greedy,True,5,26.052430152893066,52.23783679999997,59
A Student-Teacher Architecture,non stop heuristic greedy,False,1,8.048749685287476,10.0,14
A Unified Implicit,non stop heuristic greedy,True,1,2.2143537998199463,10.0,15
AAAI 2016,non stop heuristic greedy,True,10,74.42287492752075,121.6051721851199,41
AAAI 2024 - SMAPF-PO,non stop heuristic greedy,True,7,42.177438259124756,90.45755456699997,40
AAAI 2024 Submission,non stop heuristic greedy,True,4,33.54990744590759,41.064174399999956,24
aaai_docs,non stop heuristic greedy,True,3,13.674814462661743,30.0,14
Abusive Language Detection,non stop heuristic greedy,True,17,76.42866849899292,179.82680840500004,104
Accurate and Interpretable,non stop heuristic greedy,True,9,31.917012453079224,95.24903040000004,60
Action Branching Architectures,non stop heuristic greedy,True,4,15.017850160598755,47.2515267499999,51
Action Guidance with,non stop heuristic greedy,True,7,33.3199257850647,71.7486,56
AUPCR Maximizing Matchings,non stop heuristic greedy,False,2,13.14934754371643,21.528515200000015,27
Automated Lay Language,non stop heuristic greedy,True,6,19.089597463607788,64.14356669999994,53
Balanced Linear Contextual,non stop heuristic greedy,True,4,23.172411918640137,43.455846099999945,29
Beyond,non stop heuristic greedy,True,6,26.068386554718018,60.0,59
Bidirectional Temporal Plan,non stop heuristic greedy,True,1,2.973862648010254,10.0,9
BOK,non stop heuristic greedy,False,7,38.46988534927368,61.042718275000006,38
Capturing Delayed Feedback,non stop heuristic greedy,True,4,24.108024835586548,42.61418269999997,37
Cisco at AAAI-CAD21,non stop heuristic greedy,True,2,8.238140344619751,22.636199999999974,15
CompatabilityAAAI21,non stop heuristic greedy,True,1,2.518082857131958,10.0,4
Energy-Efficient Heuristic Search,non stop heuristic greedy,True,3,23.049161672592163,30.0,30
Explainable Fair Revenue Allocation (Student Abstract),non stop heuristic greedy,True,2,6.490542411804199,20.0,18
Fast,non stop heuristic greedy,True,5,27.380187511444092,50.022321600000055,55
Geometric,non stop heuristic greedy,True,2,27.36046004295349,20.0,25
ICAPS - PP-RTDP,non stop heuristic greedy,True,11,57.385143756866455,115.4930205999998,88
ICAPS 2021 - Demo track  - Solving Angry Birds with PDDL+ (1),non stop heuristic greedy,True,2,5.354250192642212,20.0,16
Token-Level,non stop heuristic greedy,True,6,27.03570246696472,66.49074769999994,32
