Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,non stop regreession model greedy,True,1,2.2998719215393066,0.0,1
2401,non stop regreession model greedy,False,3,112.29904103279114,11.206131474999978,3
2411,non stop regreession model greedy,False,6,24.538079977035522,34.040045225000014,7
24147,non stop regreession model greedy,True,9,31.7702534198761,32.55734060000002,9
AAAI 2016,non stop regreession model greedy,True,9,61.05241560935974,78.43104136714156,9
AAAI 2024 - SMAPF-PO,non stop regreession model greedy,True,2,9.419870376586914,0.0,2
AAAI 2024 Submission,non stop regreession model greedy,True,3,23.961744785308838,15.798130799999996,3
aaai_docs,non stop regreession model greedy,True,10,46.29995155334473,50.727200399999816,10
Beyond,non stop regreession model greedy,False,6,22.11260986328125,33.15110910000001,6
BOK,non stop regreession model greedy,False,6,25.6467502117157,28.136881474999974,6
CompatabilityAAAI21,non stop regreession model greedy,True,3,9.799268007278442,15.860257599999997,3
Energy-Efficient Heuristic Search,non stop regreession model greedy,True,1,2.1733179092407227,0.0,1
Explainable Fair Revenue Allocation (Student Abstract),non stop regreession model greedy,True,9,31.128740310668945,21.49601519999996,9
Fast,non stop regreession model greedy,True,1,1.9852960109710693,0.0,1
Geometric,non stop regreession model greedy,True,7,74.58831572532654,20.62176787500003,7
ICAPS - PP-RTDP,non stop regreession model greedy,True,1,2.642458200454712,0.0,1
ICAPS 2021 - Demo track  - Solving Angry Birds with PDDL+ (1),non stop regreession model greedy,True,5,14.991943120956421,0.0,5
NoaAgmonPaper1,non stop regreession model greedy,True,6,29.966411352157593,49.9592693,7
Stronger Privacy Preserving Projections for Multi-Agent Planning,non stop regreession model greedy,True,8,23.9033522605896,65.6275076,8
Token-Level,non stop regreession model greedy,True,11,43.74343204498291,90.68931708644797,11
