Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,regreession model greedy,True,1,7.3521177768707275,0.0,1
2401,regreession model greedy,False,3,225.67795252799988,11.206131474999978,3
2411,regreession model greedy,False,6,31.264556646347046,34.040045225000014,7
24147,regreession model greedy,True,7,31.10436487197876,20.95139060000001,7
AAAI 2016,regreession model greedy,True,8,81.22451758384705,44.74827733357081,8
AAAI 2024 - SMAPF-PO,regreession model greedy,True,1,7.221250534057617,0.0,1
AAAI 2024 Submission,regreession model greedy,True,3,45.59370160102844,15.798130799999996,3
aaai_docs,regreession model greedy,True,9,70.20498967170715,42.19303959999988,9
Beyond,regreession model greedy,False,6,27.744848251342773,33.15110910000001,6
BOK,regreession model greedy,False,6,31.551907539367676,28.136881474999974,6
CompatabilityAAAI21,regreession model greedy,True,3,13.182817459106445,15.860257599999997,3
Energy-Efficient Heuristic Search,regreession model greedy,True,1,2.080568313598633,0.0,1
Explainable Fair Revenue Allocation (Student Abstract),regreession model greedy,True,1,2.4894232749938965,0.0,1
Fast,regreession model greedy,True,1,2.448082447052002,0.0,1
Geometric,regreession model greedy,True,7,123.6705858707428,20.62176787500003,7
ICAPS - PP-RTDP,regreession model greedy,True,1,7.255582809448242,0.0,1
ICAPS 2021 - Demo track  - Solving Angry Birds with PDDL+ (1),regreession model greedy,True,2,12.398171424865723,0.0,2
NoaAgmonPaper1,regreession model greedy,True,6,73.15992069244385,49.9592693,7
Stronger Privacy Preserving Projections for Multi-Agent Planning,regreession model greedy,True,5,36.16990303993225,35.6275076,5
Token-Level,regreession model greedy,True,9,93.66085720062256,44.65651027499999,9
ttxxhhfsxhbzjnsmspvmpqnjmhrrkqmh,regreession model greedy,True,1,5.84627366065979,0.0,1
