Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,simple greedy,TRUE,5,32.74381328,53.24105,5
24147,simple greedy,TRUE,5,35.69306636,26.2757215,5
A Comparison of,simple greedy,TRUE,5,25.58107662,53.2865788,5
A Critical Look,simple greedy,TRUE,3,17.85977602,17.3227576,3
A Domain Generalization,simple greedy,TRUE,3,12.83429909,17.5836304,3
A Knowledge Driven,simple greedy,FALSE,7,31.74518776,55.3878472,7
A Multilayer Convolutional,simple greedy,TRUE,8,34.72844529,48.99967885,8
A Natural Language,simple greedy,TRUE,8,52.31604481,49.29782322,8
A Question-Answering Approach,simple greedy,TRUE,10,61.62659836,62.26070357,10
A Student-Teacher Architecture,simple greedy,TRUE,5,26.69262314,25.3766212,5
A Unified Implicit,simple greedy,TRUE,7,35.5886271,30.5917332,7
AAAI 2016,simple greedy,TRUE,11,117.1555464,82.9911348,11
AAAI 2024 - SMAPF-PO,simple greedy,TRUE,7,60.5626905,68.40528937,7
AAAI 2024 Submission,simple greedy,TRUE,7,80.40299344,58.2884136,7
aaai_docs,simple greedy,TRUE,4,25.93058586,28.2424788,4
Abusive Language Detection,simple greedy,TRUE,6,36.69057584,32.36110052,6
Accelerating the Development,simple greedy,FALSE,9,36.81850195,71.5367652,9
Accurate and Interpretable,simple greedy,FALSE,6,23.81401682,46.4005076,6
Action Branching Architectures,simple greedy,TRUE,2,6.968822956,0,2
AUPCR Maximizing Matchings,simple greedy,TRUE,9,49.07162857,63.4071495,9
Balanced Linear Contextual,simple greedy,TRUE,9,39.54748869,83.27032465,9
Beyond,simple greedy,TRUE,7,27.16693473,47.80011895,7
Bidirectional Temporal Plan,simple greedy,FALSE,3,21.56445313,6.3435076,0
BOK,simple greedy,FALSE,6,29.70991731,28.29658308,6
Capturing Delayed Feedback,simple greedy,TRUE,5,20.90095472,20.79872655,5
Cisco at AAAI-CAD21,simple greedy,TRUE,3,10.93120432,15.1280592,3
CompatabilityAAAI21,simple greedy,TRUE,2,7.203889132,13.2191288,2
Crowdsourcing real-time viral,simple greedy,TRUE,6,30.23640633,39.1264092,6
Deep Just-In-Time Inconsistency,simple greedy,FALSE,4,25.8841548,28.52304425,0
