Unnamed: 0,results simple greedy,results heuristic greedy,results non stop heuristic greedy,results model greedy,non stop results classification greedy,results regreession model greedy,results non stop regreession model greedy,results classification regreession model greedy
Reduced,3326.0,3348.0,3348.0,3414.0,3611.0,3355.0,3355.0,3609.0
Iterations,17.669113924050635,10.031155015197568,10.031155015197568,11.2650114010641,11.909804915125411,16.8706983805668,16.871204453441294,11.90091231626964
Time,32.79948673121537,20.178915560305903,20.8011635200714,22.59616006722413,24.322972302380048,32.43548206828142,32.17153020100555,25.234360341003445
Cost,119.0816028573092,127.0824748727736,127.0824748727736,126.31629731200658,131.27659023919014,118.4616913976538,118.4686960282206,131.157808491606
Total_operators,14.921265822784813,31.062310030395132,31.062310030395132,121.80795540917153,122.45781606283252,17.45521255060729,17.455718623481783,122.4860618347694
Reduced,3326.0,3348.0,3348.0,3414.0,3611.0,3355.0,3355.0,3609.0
Iterations,17.496692723992783,9.955197132616489,9.955197132616489,11.31195079086116,11.715037385765717,16.659016393442624,16.659016393442624,11.709891936824604
Time,32.28249493479657,19.68706188869875,20.30666875611354,22.388341123553555,23.697250140535303,31.839203700649755,31.547161293598293,24.642741067484167
Cost,117.0607524210738,124.02644215462756,124.02644215462756,126.22320291885497,130.1073773684894,116.01524304251168,116.01524304251168,130.08513858689597
Total_operators,17.496692723992783,30.591397849462364,30.591397849462364,118.15612185120094,119.56466352810855,17.055737704918034,17.055737704918034,119.60044333610418
Reduced,2739.0,2739.0,2739.0,2739.0,2739.0,2739.0,2739.0,2739.0
Iterations,16.517707192405986,9.244249726177436,9.244249726177436,10.137276378240234,10.137276378240234,15.498357064622123,15.498357064622123,10.137276378240234
Time,30.022469559217203,18.121101587085924,18.75273739068601,19.965955528041317,20.228911322544597,29.36984397887139,28.981969711683927,21.02658366817504
Cost,106.73138388720844,112.88767985115346,112.88767985115346,110.7742999704763,110.7742999704763,103.8925711716411,103.8925711716411,110.7742999704763
Total_operators,16.517707192405986,29.657174151150056,29.657174151150056,105.72836801752464,105.72836801752464,15.904344651332604,15.904344651332604,105.72836801752464
