Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
101767_1.tex,regreession model greedy,True,23,46.54713726043701,192.27090657500108,23
101798_3.tex,regreession model greedy,True,16,32.069294452667236,63.59413285810743,16
101813_1.tex,regreession model greedy,True,17,32.97956657409668,80.39481863599993,17
101830_3.tex,regreession model greedy,True,17,28.48570227622986,71.49523372306388,17
101836_2.tex,regreession model greedy,True,23,26.815804958343506,130.33518767981417,23
101840_3.tex,regreession model greedy,True,17,18.6963152885437,79.61444552500049,17
101918_1.tex,regreession model greedy,True,18,19.296168565750122,88.65499759379995,18
101980_1.tex,regreession model greedy,True,22,22.93257164955139,164.02695269374996,22
102128_3.tex,regreession model greedy,True,18,23.86359667778015,115.08169697040046,19
102227_1.tex,regreession model greedy,True,14,15.761577367782593,105.38531001800064,14
102289_2.tex,regreession model greedy,False,9,10.611690759658813,55.62865473000053,10
102320_3.tex,regreession model greedy,False,9,11.76909589767456,52.531948213271015,10
102343_2.tex,regreession model greedy,True,21,25.48704504966736,109.77129058699994,21
102358_1.tex,regreession model greedy,True,13,15.88159728050232,58.44331653279988,13
102404_1.tex,regreession model greedy,True,9,9.359292984008789,69.02737600500026,9
102419_3.tex,regreession model greedy,True,15,15.542365550994873,93.59748615500054,15
102428_3.tex,regreession model greedy,True,7,7.424426078796387,52.41264538124,7
102467_3.tex,regreession model greedy,True,8,9.281590461730957,38.49507855400014,8
102489_2.tex,regreession model greedy,True,53,61.93952965736389,458.79793474256024,53
102564_3.tex,regreession model greedy,False,24,26.14223575592041,155.63186733224597,25
102740_2.tex,regreession model greedy,True,9,10.100230932235718,59.01304842500002,12
102797_2.tex,regreession model greedy,False,41,52.65426993370056,2346.2074037245443,41
102798_3.tex,regreession model greedy,True,16,19.7203848361969,73.24904405860005,16
102819_1.tex,regreession model greedy,True,14,15.804368257522583,104.678976065,17
102919_2.tex,regreession model greedy,True,26,31.287548065185547,226.87798941200032,27
102931_1.tex,regreession model greedy,True,5,5.124101161956787,14.996017864999985,5
103028_3.tex,regreession model greedy,True,33,39.352553844451904,237.4053042356001,33
103042_1.tex,regreession model greedy,True,13,13.392078399658203,94.54063279999998,13
