Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
14553_3.tex,non stop regreession model greedy,True,3,3.1309776306152344,8.961007072700042,3
15507_1.tex,non stop regreession model greedy,True,22,29.729905605316162,134.11693141120034,22
16152_2.tex,non stop regreession model greedy,True,17,19.169606685638428,96.59071275600017,17
10043_3.tex,non stop regreession model greedy,True,20,27.368433952331543,146.18346991800053,20
10097_3.tex,non stop regreession model greedy,True,19,22.278098106384277,146.69488323215015,19
10128_3.tex,non stop regreession model greedy,False,8,9.594505310058594,46.12708983939899,9
10134_3.tex,non stop regreession model greedy,True,13,17.10269808769226,96.77052864235957,13
10184_2.tex,non stop regreession model greedy,True,9,9.933683395385742,86.2988088937502,9
10186_2.tex,non stop regreession model greedy,True,14,19.43122911453247,132.53391085499993,14
10213_2.tex,non stop regreession model greedy,True,5,5.503942251205444,31.32968097700022,5
10227_2.tex,non stop regreession model greedy,False,5,8.145146369934082,23.53528051413852,6
10235_3.tex,non stop regreession model greedy,True,16,21.447035551071167,83.96008900190984,16
10249_2.tex,non stop regreession model greedy,False,10,12.523155212402344,49.88994426811401,11
10546_1.tex,non stop regreession model greedy,True,11,15.936356544494629,67.52722366375059,11
10583_1.tex,non stop regreession model greedy,True,20,28.19935941696167,139.48843424979992,20
10603_3.tex,non stop regreession model greedy,True,2,3.4662320613861084,6.481490149999985,2
10666_2.tex,non stop regreession model greedy,False,16,23.760137796401978,112.74055487466029,17
10735_1.tex,non stop regreession model greedy,True,16,21.217829942703247,82.78273431351411,16
11008_3.tex,non stop regreession model greedy,True,11,15.785545587539673,53.837673963100215,11
11099_2.tex,non stop regreession model greedy,True,40,56.36997747421265,451.12612756550084,40
11120_2.tex,non stop regreession model greedy,True,21,30.14038634300232,126.51643361768627,21
11135_2.tex,non stop regreession model greedy,True,9,10.765711545944214,71.39131760000014,9
11283_2.tex,non stop regreession model greedy,True,18,20.544783353805542,107.03246826880017,18
11303_3.tex,non stop regreession model greedy,True,33,41.530730962753296,300.667876827475,33
11625_1.tex,non stop regreession model greedy,True,21,29.131978273391724,207.5676864422504,21
11660_2.tex,non stop regreession model greedy,True,31,38.923017263412476,300.0458671841732,31
11734_2.tex,non stop regreession model greedy,True,8,9.312208652496338,40.763152340942604,8
11765_2.tex,non stop regreession model greedy,True,4,4.38778829574585,17.635189976000007,4
11806_2.tex,non stop regreession model greedy,True,23,29.910404682159424,265.52639952375,23
11838_1.tex,non stop regreession model greedy,True,21,33.650877714157104,146.25675087726944,21
