Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
16658_3.tex,simple greedy,True,19,30.177999019622803,239.43437631250106,19
16705_2.tex,simple greedy,True,14,20.080695390701294,75.96929456322499,14
16726_3.tex,simple greedy,True,25,46.395204067230225,126.70255978560445,25
17015_1.tex,simple greedy,True,18,31.92860436439514,145.23342899240455,18
17137_1.tex,simple greedy,True,11,16.05064344406128,55.82477774012105,11
17153_1.tex,simple greedy,False,23,43.80335092544556,108.8123546021052,0
17179_3.tex,simple greedy,False,11,19.13546395301819,53.04734387500014,0
17209_3.tex,simple greedy,True,5,7.120642423629761,17.52140917199997,5
17231_2.tex,simple greedy,True,13,22.50506615638733,58.87946010870743,13
17261_1.tex,simple greedy,True,17,28.821950912475586,91.16481689051001,17
17265_2.tex,simple greedy,True,34,69.04161882400513,246.16231392470763,34
17266_1.tex,simple greedy,False,26,45.659417152404785,160.59247515074222,0
17549_3.tex,simple greedy,True,5,8.821271657943726,14.483869622000036,5
17650_3.tex,simple greedy,True,5,9.12067198753357,13.279852569897542,5
17664_2.tex,simple greedy,False,16,28.102787256240845,83.00567101975011,0
17677_3.tex,simple greedy,True,24,38.488301277160645,153.01869513186912,24
17687_1.tex,simple greedy,True,24,44.97087574005127,130.60894935884767,24
17698_1.tex,simple greedy,False,32,71.48660182952881,245.14662487359138,0
17711_1.tex,simple greedy,True,44,80.59795665740967,372.76940279625023,44
17716_2.tex,simple greedy,False,10,17.282992362976074,84.93278611875017,0
17759_2.tex,simple greedy,True,21,35.60783123970032,120.9176149966431,21
17809_1.tex,simple greedy,False,21,40.03914952278137,114.51621071500011,0
17812_1.tex,simple greedy,False,27,48.67835569381714,144.42080296566405,0
18031_3.tex,simple greedy,True,22,42.23927426338196,118.09501804063903,22
18035_1.tex,simple greedy,False,14,30.000160932540894,75.79331827543263,0
73237_3.tex,simple greedy,True,6,9.22332501411438,32.92930646499999,6
73350_1.tex,simple greedy,True,7,10.892595291137695,33.16621514000015,7
73374_1.tex,simple greedy,True,16,29.264280557632446,85.22691239079995,16
73815_1.tex,simple greedy,True,12,20.348431825637817,56.17587873264347,12
74893_3.tex,simple greedy,True,5,7.610685586929321,16.3287369238,5
74939_2.tex,simple greedy,True,39,71.02098417282104,465.158368545,39
75373_1.tex,simple greedy,True,10,17.227837562561035,29.91250202899999,10
75431_3.tex,simple greedy,True,14,25.139246463775635,73.81858948080013,14
75513_3.tex,simple greedy,True,25,45.42893743515015,166.37105550000058,25
77053_1.tex,simple greedy,False,21,39.011646032333374,113.91250662664352,0
77170_2.tex,simple greedy,True,31,71.423574924469,209.5734310605005,31
77209_3.tex,simple greedy,True,15,24.643731355667114,46.90350505750001,15
18140_2.tex,simple greedy,True,23,45.363051652908325,130.8053400899229,23
18246_3.tex,simple greedy,True,15,28.15713334083557,77.53157018099994,15
18323_3.tex,simple greedy,True,17,28.10177755355835,86.29750124190718,17
18358_2.tex,simple greedy,True,21,40.436299562454224,104.27465873800921,21
18573_3.tex,simple greedy,True,22,44.800283432006836,112.50725071178078,22
18669_1.tex,simple greedy,True,18,37.2797212600708,103.47558609269241,18
18860_2.tex,simple greedy,True,24,42.47390651702881,148.40832657750025,24
19093_2.tex,simple greedy,True,9,15.25209665298462,33.25918484815428,9
19103_3.tex,simple greedy,True,12,26.558752298355103,40.026729252120845,12
19139_1.tex,simple greedy,True,12,25.010635137557983,121.85802602499997,12
19274_2.tex,simple greedy,True,13,23.303303956985474,72.00605028196051,13
19295_2.tex,simple greedy,True,28,51.00081539154053,176.28144094470719,28
19335_1.tex,simple greedy,False,12,23.056190490722656,52.81578170625011,0
19428_2.tex,simple greedy,True,23,39.54209661483765,122.91328391645706,23
19691_1.tex,simple greedy,True,3,5.002187013626099,20.14829258000004,3
19754_1.tex,simple greedy,True,23,43.355347633361816,265.0153469713961,23
19758_2.tex,simple greedy,True,32,60.26034641265869,324.1332778243276,32
19828_2.tex,simple greedy,True,5,8.435670614242554,14.655951696400063,5
19838_1.tex,simple greedy,True,22,36.2681827545166,297.9804504642009,22
19867_3.tex,simple greedy,True,8,13.93829870223999,27.033691252307214,8
19877_1.tex,simple greedy,True,16,32.93425130844116,243.0791369487501,16
19907_1.tex,simple greedy,True,20,34.41462683677673,157.26884339875005,20
19907_2.tex,simple greedy,True,6,10.59787917137146,42.72482244875022,6
19935_3.tex,simple greedy,True,25,41.456249713897705,194.08862942135707,25
19945_1.tex,simple greedy,True,7,10.028420448303223,23.810277733600035,7
19951_1.tex,simple greedy,True,40,72.56160807609558,354.212556452478,40
20189_1.tex,simple greedy,True,15,28.757627248764038,106.76419559915499,15
20245_3.tex,simple greedy,False,8,14.263935804367065,51.09750393999993,0
20300_2.tex,simple greedy,True,15,24.998751878738403,59.772831888960425,15
20321_1.tex,simple greedy,True,3,4.361666679382324,6.914573525000009,3
20334_1.tex,simple greedy,True,8,12.240242719650269,48.37136395000012,8
20375_1.tex,simple greedy,True,14,23.090330362319946,81.69807847900043,14
20410_2.tex,simple greedy,True,25,45.58964920043945,209.7160099926865,25
20425_2.tex,simple greedy,True,20,31.715022802352905,245.19004161249998,20
20451_3.tex,simple greedy,True,15,25.47621178627014,94.28062329710498,15
20464_1.tex,simple greedy,True,15,26.525986433029175,116.36003380000021,15
20723_2.tex,simple greedy,True,46,102.94627642631531,350.29695981121915,46
20727_3.tex,simple greedy,True,17,33.57043647766113,89.18163954767202,17
20765_2.tex,simple greedy,True,11,20.76779317855835,82.48932227500029,11
20796_3.tex,simple greedy,True,9,14.736265659332275,42.53433865252143,9
20829_2.tex,simple greedy,True,23,47.92943477630615,130.93680352284326,23
20915_2.tex,simple greedy,True,37,74.02832341194153,320.8412696030285,37
20961_2.tex,simple greedy,True,17,29.636796712875366,165.0966424,17
20986_1.tex,simple greedy,True,20,37.59304857254028,165.22587623750076,20
21534_2.tex,simple greedy,True,13,21.51836323738098,100.61261847652784,13
21546_1.tex,simple greedy,True,18,31.372429609298706,150.91929039900106,18
21566_3.tex,simple greedy,False,7,13.086941719055176,27.295174285390033,0
21580_2.tex,simple greedy,True,18,33.681397676467896,125.15122053820008,18
21592_2.tex,simple greedy,True,13,22.12036395072937,62.81434419171407,13
21848_2.tex,simple greedy,True,10,18.618276834487915,140.08075284375002,10
21917_2.tex,simple greedy,True,23,41.78141951560974,233.25546867643612,23
21974_1.tex,simple greedy,True,27,48.14807605743408,284.12539456348566,27
21976_1.tex,simple greedy,True,14,26.383799076080322,105.78708452640298,14
21988_3.tex,simple greedy,True,16,29.961052656173706,111.89720592200021,16
22046_2.tex,simple greedy,True,2,3.1216304302215576,5.017284550000056,2
22046_3.tex,simple greedy,True,2,4.126459360122681,4.416645375000002,2
22075_3.tex,simple greedy,True,10,17.654731035232544,43.990828032999914,10
22118_1.tex,simple greedy,True,9,15.14071536064148,30.64166173469109,9
22318_1.tex,simple greedy,True,1,1.3575644493103027,0.0,1
22458_1.tex,simple greedy,True,35,72.2319769859314,289.27595531450044,35
22554_1.tex,simple greedy,True,18,31.233601331710815,113.37934162674995,18
22567_2.tex,simple greedy,True,5,8.395482778549194,14.815669841999991,5
22638_3.tex,simple greedy,True,27,46.49655723571777,192.7410770230003,27
