Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
23693_1.tex,heuristic greedy,True,5,12.129757165908813,56.275456660090086,27
23722_2.tex,heuristic greedy,True,10,21.416511297225952,138.7832780945,29
23933_3.tex,heuristic greedy,True,11,25.134094715118408,141.10603182599993,26
23938_1.tex,heuristic greedy,True,5,13.695389986038208,50.616958969899045,25
23958_2.tex,heuristic greedy,True,13,30.804300785064697,159.5894229562401,35
24043_2.tex,heuristic greedy,True,8,17.8184711933136,87.1410804479999,19
24058_3.tex,heuristic greedy,True,17,45.16750693321228,188.20493424250543,51
24064_2.tex,heuristic greedy,False,7,21.363598823547363,74.1724461339202,31
24123_2.tex,heuristic greedy,True,14,30.14618444442749,185.5371319187501,30
24159_3.tex,heuristic greedy,False,12,30.579488515853882,135.0656666576998,36
24184_1.tex,heuristic greedy,True,10,23.880702257156372,103.66811933082786,39
24206_3.tex,heuristic greedy,True,18,40.51072454452515,291.26273761250013,33
24214_1.tex,heuristic greedy,True,7,14.917840003967285,78.79318720000025,23
24275_2.tex,heuristic greedy,True,4,9.352757692337036,41.132463677599986,29
24276_2.tex,heuristic greedy,True,1,2.2187294960021973,10.01,24
24281_2.tex,heuristic greedy,True,14,34.36140275001526,198.7174837109999,37
24704_3.tex,heuristic greedy,True,5,11.379417181015015,50.95158036989892,27
24739_2.tex,heuristic greedy,True,7,14.595729351043701,78.66358379000003,17
24741_3.tex,heuristic greedy,True,15,32.26404571533203,179.82900978125014,41
25127_1.tex,heuristic greedy,True,1,1.6616458892822266,10.01,19
25133_3.tex,heuristic greedy,True,2,4.089763402938843,20.177181717499934,24
25150_1.tex,heuristic greedy,True,10,24.98996877670288,109.95025532763836,37
25150_3.tex,heuristic greedy,True,8,20.028433322906494,91.32981538988838,28
25188_1.tex,heuristic greedy,True,6,11.455146551132202,70.29274885000005,15
25220_3.tex,heuristic greedy,True,8,17.38704204559326,90.17064286699994,27
25224_2.tex,heuristic greedy,True,9,19.744633197784424,101.02814773399996,28
25229_1.tex,heuristic greedy,True,1,1.8595988750457764,10.01,21
25251_1.tex,heuristic greedy,True,15,35.05906581878662,175.1712906680002,38
25270_3.tex,heuristic greedy,True,9,19.70097064971924,96.73460176390009,39
25305_2.tex,heuristic greedy,True,6,11.911414384841919,62.92777348000047,30
25373_3.tex,heuristic greedy,True,16,35.764299631118774,178.56032369619987,49
25547_2.tex,heuristic greedy,True,5,11.68747353553772,53.32406457899992,24
25593_1.tex,heuristic greedy,True,11,26.26456332206726,120.44653066799987,34
25685_3.tex,heuristic greedy,True,12,29.009888887405396,153.0540431319999,28
25686_2.tex,heuristic greedy,True,3,6.768028020858765,30.53706667200009,22
25761_2.tex,heuristic greedy,True,6,13.24499773979187,66.26978178800002,27
26227_1.tex,heuristic greedy,False,11,28.749541521072388,118.7057754616,29
26303_2.tex,heuristic greedy,True,2,4.157486915588379,20.063437120000124,14
26304_2.tex,heuristic greedy,True,18,36.19921064376831,275.13333825522477,27
26323_2.tex,heuristic greedy,True,18,44.407195806503296,247.81982189147996,37
26392_1.tex,heuristic greedy,True,2,3.8850326538085938,20.350595962000057,11
26397_3.tex,heuristic greedy,True,6,12.70689082145691,70.19725288209,16
26670_2.tex,heuristic greedy,True,6,14.680659055709839,64.00824592293573,20
26826_1.tex,heuristic greedy,True,8,18.01814341545105,102.22080995785004,18
26846_3.tex,heuristic greedy,True,9,19.550178289413452,109.4642874660004,20
26863_3.tex,heuristic greedy,True,4,11.176470756530762,41.415286075,22
26911_2.tex,heuristic greedy,True,12,24.804129362106323,137.84579759999974,26
26923_2.tex,heuristic greedy,True,20,45.128116607666016,331.46801140000014,29
26943_1.tex,heuristic greedy,True,1,1.868581771850586,10.01,13
26972_1.tex,heuristic greedy,True,7,17.13947820663452,80.82449033708997,42
27247_1.tex,heuristic greedy,True,20,47.75710725784302,347.1642898562502,30
27271_3.tex,heuristic greedy,True,18,44.74203014373779,280.5929110736871,38
27277_2.tex,heuristic greedy,True,2,4.303616285324097,20.017053119999908,16
27280_3.tex,heuristic greedy,True,6,13.859582662582397,67.81103689200053,21
27351_1.tex,heuristic greedy,True,7,15.148525953292847,80.43738639999998,20
27369_2.tex,heuristic greedy,False,7,19.448625326156616,79.34515363386798,37
27427_1.tex,heuristic greedy,False,29,76.46584701538086,394.2281251129059,64
27435_2.tex,heuristic greedy,True,7,14.754002809524536,83.33377271000005,13
27473_2.tex,heuristic greedy,True,16,35.57506847381592,207.5697364129921,31
27482_3.tex,heuristic greedy,False,9,21.69844889640808,101.31325138400055,25
27498_1.tex,heuristic greedy,False,2,6.811007261276245,22.034576410160014,20
27517_2.tex,heuristic greedy,True,21,48.99142360687256,320.25123273000014,41
27837_2.tex,heuristic greedy,True,5,12.319553136825562,50.99405007323108,22
27863_1.tex,heuristic greedy,True,10,24.575932502746582,103.64776202965618,38
27941_2.tex,heuristic greedy,True,6,12.813875436782837,64.5844936229137,24
27971_1.tex,heuristic greedy,True,28,67.33741927146912,559.8919293220001,50
28025_1.tex,heuristic greedy,True,4,9.084413766860962,43.43343812799994,21
28028_2.tex,heuristic greedy,True,6,12.42937159538269,67.58688029400005,22
28032_1.tex,heuristic greedy,True,11,21.962088346481323,132.20660644349974,23
28076_1.tex,heuristic greedy,False,16,45.009917974472046,171.37530206143123,57
28079_3.tex,heuristic greedy,True,8,18.213791370391846,88.15895056095093,32
28362_3.tex,heuristic greedy,True,13,30.361183643341064,190.5698468947499,26
28379_1.tex,heuristic greedy,True,13,30.566662549972534,156.1325643997469,31
28380_1.tex,heuristic greedy,True,6,12.041495084762573,61.45590542989891,23
28451_1.tex,heuristic greedy,True,15,35.68540167808533,237.93865546787475,29
28472_1.tex,heuristic greedy,True,3,6.365481853485107,30.026641420000047,18
28532_2.tex,heuristic greedy,True,8,19.8914532661438,87.69368729999997,30
28534_3.tex,heuristic greedy,True,5,9.774092674255371,57.36245870000025,17
28546_3.tex,heuristic greedy,True,9,21.73794722557068,102.96848422500003,26
28795_3.tex,heuristic greedy,True,18,44.6983060836792,269.32052698875026,33
28964_2.tex,heuristic greedy,True,9,20.5954852104187,143.18940060000008,15
28971_3.tex,heuristic greedy,True,2,4.096898078918457,20.02,13
29153_2.tex,heuristic greedy,True,14,34.19239926338196,164.83010310494416,51
29443_2.tex,heuristic greedy,False,17,43.64052486419678,225.7476132857499,35
29538_2.tex,heuristic greedy,True,2,3.8917179107666016,20.242385189999943,13
29547_1.tex,heuristic greedy,True,9,20.380528926849365,100.8878113160001,25
29549_3.tex,heuristic greedy,True,6,13.00465703010559,63.27725308499183,24
29564_2.tex,heuristic greedy,True,14,31.128145694732666,174.85070285510585,36
29570_1.tex,heuristic greedy,False,9,22.586984634399414,103.60743953657783,26
29577_3.tex,heuristic greedy,False,21,51.909825563430786,272.5346069740003,39
29616_3.tex,heuristic greedy,True,5,10.107786417007446,54.20551119999993,11
29629_3.tex,heuristic greedy,True,8,14.937312364578247,93.83649713949998,21
29662_2.tex,heuristic greedy,True,8,19.526698350906372,81.77460338299993,30
29667_2.tex,heuristic greedy,False,5,13.973647356033325,57.764054365999996,19
29668_2.tex,heuristic greedy,True,6,14.034804344177246,67.47363671520009,29
29695_2.tex,heuristic greedy,False,9,24.121237993240356,95.86392490199987,33
29699_2.tex,heuristic greedy,True,3,6.458202838897705,30.56336717720002,29
77393_1.tex,heuristic greedy,True,3,6.528966426849365,30.019999999999996,38
77468_3.tex,heuristic greedy,True,7,14.451761722564697,75.65236980000032,23
77495_3.tex,heuristic greedy,True,7,16.506807804107666,73.77211012682818,28
