Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
101767_1.tex,non stop heuristic greedy,True,16,64.75665283203125,202.31340907500092,31
101798_3.tex,non stop heuristic greedy,True,2,8.528356075286865,20.009999999999998,27
101813_1.tex,non stop heuristic greedy,True,5,16.012128114700317,50.629229120000005,30
101830_3.tex,non stop heuristic greedy,True,3,9.97557544708252,30.04824769999994,32
101836_2.tex,non stop heuristic greedy,True,15,58.35701274871826,154.82995672565585,43
101840_3.tex,non stop heuristic greedy,True,8,23.73724341392517,94.95600700800013,35
101918_1.tex,non stop heuristic greedy,True,11,26.72383975982666,117.31997019299185,43
101980_1.tex,non stop heuristic greedy,True,6,13.045608282089233,61.32004210000005,19
102128_3.tex,non stop heuristic greedy,True,10,28.368410110473633,108.67406448199989,30
102227_1.tex,non stop heuristic greedy,True,2,4.302602291107178,20.01805312000011,16
102289_2.tex,non stop heuristic greedy,True,6,13.438320398330688,64.38364245000005,16
102320_3.tex,non stop heuristic greedy,True,3,7.001502752304077,30.78422241399985,18
102343_2.tex,non stop heuristic greedy,True,2,5.1252336502075195,20.009999999999998,29
102358_1.tex,non stop heuristic greedy,True,9,23.163834810256958,97.38601609146785,39
102404_1.tex,non stop heuristic greedy,True,5,14.234553813934326,51.53938029999998,14
102419_3.tex,non stop heuristic greedy,True,5,11.420870542526245,52.11478575999999,29
102428_3.tex,non stop heuristic greedy,True,6,11.988942623138428,68.2339498740001,15
102467_3.tex,non stop heuristic greedy,True,2,4.803532600402832,20.0,25
102489_2.tex,non stop heuristic greedy,False,25,71.39404535293579,370.0520101912004,63
102564_3.tex,non stop heuristic greedy,False,8,21.605892658233643,83.52699393999995,40
102740_2.tex,non stop heuristic greedy,True,4,9.257660150527954,40.019999999999996,11
102797_2.tex,non stop heuristic greedy,False,34,100.17515826225281,2175.8016247359838,62
102798_3.tex,non stop heuristic greedy,True,1,2.3835811614990234,10.01,23
102819_1.tex,non stop heuristic greedy,True,8,18.350234270095825,91.22739030999982,23
102919_2.tex,non stop heuristic greedy,True,9,23.733642578125,123.24929738000002,24
102931_1.tex,non stop heuristic greedy,True,2,4.324699401855469,20.465558799999968,13
103028_3.tex,non stop heuristic greedy,True,14,36.09260654449463,156.93715059300004,45
103042_1.tex,non stop heuristic greedy,True,2,3.705423355102539,21.47694543999998,12
103050_3.tex,non stop heuristic greedy,False,3,9.273088455200195,30.29096060000007,21
103074_3.tex,non stop heuristic greedy,True,2,4.049164533615112,20.510070688000134,16
103090_3.tex,non stop heuristic greedy,True,3,7.147423267364502,30.45551949999998,23
103099_2.tex,non stop heuristic greedy,True,1,3.106989622116089,10.0,30
103230_2.tex,non stop heuristic greedy,True,2,4.956320285797119,20.009999999999998,27
103240_3.tex,non stop heuristic greedy,True,2,4.836177110671997,20.0,29
103257_2.tex,non stop heuristic greedy,True,3,5.90469217300415,35.69618872000002,10
103265_1.tex,non stop heuristic greedy,True,5,10.250466108322144,55.272683856250005,17
103316_2.tex,non stop heuristic greedy,True,3,6.583897352218628,30.009999999999998,14
103318_1.tex,non stop heuristic greedy,True,1,1.6912496089935303,10.0,12
103322_3.tex,non stop heuristic greedy,True,13,33.228262186050415,162.87996680493572,37
103421_3.tex,non stop heuristic greedy,True,9,23.66948390007019,97.97507384533002,39
103466_1.tex,non stop heuristic greedy,True,8,15.80192255973816,88.83290080000002,21
103486_1.tex,non stop heuristic greedy,True,5,15.097825050354004,51.91690879999998,31
103495_2.tex,non stop heuristic greedy,True,1,1.9222502708435059,10.0,18
103524_3.tex,non stop heuristic greedy,True,4,9.482439994812012,41.24807244000004,23
103600_3.tex,non stop heuristic greedy,True,11,27.893815994262695,120.69529077500037,29
103623_2.tex,non stop heuristic greedy,True,5,12.539571285247803,51.426835859999954,30
103935_1.tex,non stop heuristic greedy,True,1,1.6354036331176758,10.0,7
103943_1.tex,non stop heuristic greedy,True,4,12.080523014068604,40.56752038793735,34
103952_2.tex,non stop heuristic greedy,True,12,34.92835712432861,191.71940857600015,20
103984_3.tex,non stop heuristic greedy,True,3,7.987736463546753,30.147671699999826,24
104017_1.tex,non stop heuristic greedy,True,2,3.760721206665039,20.009999999999998,11
104024_2.tex,non stop heuristic greedy,False,7,17.9873628616333,83.58889360000006,17
104028_3.tex,non stop heuristic greedy,True,11,23.570271968841553,138.89293329999995,22
104093_2.tex,non stop heuristic greedy,False,19,55.09666419029236,223.65407103365624,51
104095_2.tex,non stop heuristic greedy,True,8,20.212280750274658,82.37977683882781,31
104098_1.tex,non stop heuristic greedy,True,3,7.7354137897491455,30.047170280000053,25
104128_1.tex,non stop heuristic greedy,True,2,3.6180472373962402,20.009999999999998,9
104154_3.tex,non stop heuristic greedy,True,2,4.362905502319336,20.586335267200084,18
104167_2.tex,non stop heuristic greedy,True,3,6.731860876083374,30.358898249999925,27
104200_2.tex,non stop heuristic greedy,True,5,13.336926937103271,51.26424441200002,19
104289_1.tex,non stop heuristic greedy,True,3,7.504737377166748,30.00705311999991,21
104314_2.tex,non stop heuristic greedy,True,2,4.822158098220825,20.009999999999998,17
104420_1.tex,non stop heuristic greedy,True,10,26.487443208694458,108.93736937208996,33
104428_3.tex,non stop heuristic greedy,True,3,7.0722105503082275,30.019999999999996,26
104434_1.tex,non stop heuristic greedy,True,7,20.983319520950317,71.44996810765595,39
104470_1.tex,non stop heuristic greedy,True,10,22.916356563568115,142.07513140000046,19
104481_3.tex,non stop heuristic greedy,True,15,35.43747019767761,206.89152428399993,25
104540_2.tex,non stop heuristic greedy,True,8,21.861248016357422,83.41652381882835,37
104557_3.tex,non stop heuristic greedy,True,6,13.651950597763062,66.91043200000024,14
104566_3.tex,non stop heuristic greedy,True,8,18.36671543121338,105.9547961875,12
104585_3.tex,non stop heuristic greedy,True,1,1.7752048969268799,10.488243971039992,14
104598_1.tex,non stop heuristic greedy,True,11,28.265324592590332,130.22031462800027,28
104601_1.tex,non stop heuristic greedy,True,11,30.81975769996643,125.21687639000017,29
104608_3.tex,non stop heuristic greedy,True,3,9.288806676864624,30.009999999999998,19
104651_1.tex,non stop heuristic greedy,False,13,49.139822483062744,148.71991954774518,44
104678_3.tex,non stop heuristic greedy,True,8,22.820383071899414,88.17900240000003,26
104686_2.tex,non stop heuristic greedy,True,15,46.74098253250122,171.10755472500003,32
104715_2.tex,non stop heuristic greedy,True,24,67.7518401145935,323.47172203200046,47
104841_1.tex,non stop heuristic greedy,True,1,1.3807799816131592,10.0,13
104916_1.tex,non stop heuristic greedy,True,4,8.648603677749634,40.01,14
104973_2.tex,non stop heuristic greedy,True,13,38.09550762176514,136.2637450743278,47
104988_1.tex,non stop heuristic greedy,True,5,10.930533647537231,54.6594295999999,11
105006_2.tex,non stop heuristic greedy,True,12,28.262880563735962,141.66873570000024,21
105030_2.tex,non stop heuristic greedy,True,5,12.372562170028687,55.45321022799996,18
105062_3.tex,non stop heuristic greedy,True,8,20.487847328186035,84.15189400998398,32
105080_2.tex,non stop heuristic greedy,True,4,9.3302321434021,41.03770568000006,18
105135_1.tex,non stop heuristic greedy,True,16,41.591883182525635,189.9319668048281,44
105162_3.tex,non stop heuristic greedy,True,11,30.57084584236145,137.46004875599988,26
105175_1.tex,non stop heuristic greedy,True,6,15.75291109085083,61.90958588000004,28
105216_3.tex,non stop heuristic greedy,False,2,7.5875537395477295,23.611320900000038,23
105234_2.tex,non stop heuristic greedy,True,5,12.53245496749878,50.75685489999998,24
105269_1.tex,non stop heuristic greedy,True,6,14.504901647567749,61.076155709999995,35
105284_2.tex,non stop heuristic greedy,True,25,64.1937050819397,347.0339592940004,69
