Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
141731_2.tex,model greedy,TRUE,9,18.76355505,60.44372098,65
143313_1.tex,model greedy,FALSE,7,16.672189,95.78718612,171
143456_3.tex,model greedy,TRUE,7,14.0771296,54.9196626,53
144045_2.tex,model greedy,TRUE,13,27.45274663,102.5615427,106
144919_2.tex,model greedy,TRUE,9,19.98880887,39.88591017,51
145668_2.tex,model greedy,TRUE,7,14.41543841,31.49494907,49
145952_3.tex,model greedy,TRUE,9,20.33576417,113.3004764,82
146502_2.tex,model greedy,FALSE,5,13.26805758,47.26573358,81
147160_1.tex,model greedy,FALSE,22,48.53062916,522.3396472,305
147168_3.tex,model greedy,TRUE,5,9.726740122,17.10020369,21
147778_2.tex,model greedy,TRUE,17,35.63423967,124.3451804,126
147934_1.tex,model greedy,TRUE,11,21.60771251,57.99887967,37
148148_2.tex,model greedy,TRUE,4,8.033891201,14.67930917,18
148278_1.tex,model greedy,TRUE,21,45.89882779,247.103396,224
148434_3.tex,model greedy,FALSE,8,19.57443953,62.80550046,92
148891_1.tex,model greedy,TRUE,5,9.49344945,17.09976362,18
149395_1.tex,model greedy,TRUE,11,23.49610949,87.73254517,114
150369_2.tex,model greedy,TRUE,13,29.6088078,132.241697,151
150397_2.tex,model greedy,TRUE,14,30.17204499,92.38139778,122
150485_1.tex,model greedy,TRUE,7,13.65082264,31.71916108,8
151067_1.tex,model greedy,TRUE,12,25.33351135,74.42440616,40
151648_2.tex,model greedy,TRUE,22,46.03557301,196.7213448,138
152179_2.tex,model greedy,TRUE,7,14.40310359,45.57653675,54
152244_2.tex,model greedy,TRUE,19,40.85102701,231.6432671,307
152655_3.tex,model greedy,TRUE,7,14.21145701,54.09110042,66
153803_1.tex,model greedy,TRUE,2,3.642006874,7.2155392,10
154547_2.tex,model greedy,TRUE,5,10.4013772,16.912296,22
155160_3.tex,model greedy,TRUE,11,26.29032135,97.72148965,164
155191_3.tex,model greedy,FALSE,34,80.57551479,653.1436736,355
155256_2.tex,model greedy,TRUE,9,19.32448673,50.994647,58
155296_1.tex,model greedy,TRUE,7,14.24736285,35.59007828,53
155351_3.tex,model greedy,TRUE,12,25.03930402,57.25342604,62
155749_2.tex,model greedy,TRUE,10,21.26156187,151.189907,87
156274_1.tex,model greedy,TRUE,4,8.913035154,37.66538794,81
156974_2.tex,model greedy,TRUE,9,19.60997915,123.452857,98
157200_1.tex,model greedy,TRUE,3,6.43121624,31.55660604,44
157897_3.tex,model greedy,TRUE,7,13.95036125,88.67547675,42
158504_3.tex,model greedy,TRUE,11,24.51813269,108.8063618,149
158694_3.tex,model greedy,TRUE,6,12.19402432,34.95951231,47
159060_2.tex,model greedy,TRUE,13,29.18503451,167.3345074,194
159605_1.tex,model greedy,TRUE,6,12.93533063,34.95438199,48
159678_3.tex,model greedy,FALSE,16,37.29003501,251.8000366,345
160240_2.tex,model greedy,FALSE,20,44.18089008,559.8826728,314
161955_3.tex,model greedy,TRUE,36,81.23016691,506.419669,336
162163_1.tex,model greedy,TRUE,5,10.39703631,48.8438419,29
162879_3.tex,model greedy,TRUE,8,15.94045568,66.18974385,48
