Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
141731_2.tex,non stop heuristic greedy,TRUE,8,16.28822756,89.63804093,31
143313_1.tex,non stop heuristic greedy,FALSE,4,11.17323184,40.93983708,22
143456_3.tex,non stop heuristic greedy,FALSE,7,16.42998815,82.82176155,24
144045_2.tex,non stop heuristic greedy,FALSE,7,17.04197645,74.22962528,24
144919_2.tex,non stop heuristic greedy,TRUE,3,6.604185581,30.04817028,29
145668_2.tex,non stop heuristic greedy,TRUE,4,8.412890911,41.32972528,32
145952_3.tex,non stop heuristic greedy,TRUE,5,10.64037085,53.0940352,20
146502_2.tex,non stop heuristic greedy,TRUE,9,19.44792891,94.38520645,27
147160_1.tex,non stop heuristic greedy,TRUE,23,49.33427858,1102.027559,45
147168_3.tex,non stop heuristic greedy,TRUE,3,5.569640636,30.0485588,22
147778_2.tex,non stop heuristic greedy,FALSE,7,16.52103877,79.01306285,33
147934_1.tex,non stop heuristic greedy,TRUE,8,16.60091019,86.14346428,35
148148_2.tex,non stop heuristic greedy,TRUE,5,11.37053752,50.12453604,37
148278_1.tex,non stop heuristic greedy,TRUE,14,30.30774498,184.8125745,35
148434_3.tex,non stop heuristic greedy,TRUE,9,18.42107034,108.9723131,30
148891_1.tex,non stop heuristic greedy,TRUE,4,8.565274715,41.20428983,32
149395_1.tex,non stop heuristic greedy,TRUE,9,18.28987336,106.9537261,32
150369_2.tex,non stop heuristic greedy,TRUE,10,21.25318623,139.3223815,31
150397_2.tex,non stop heuristic greedy,TRUE,10,21.70399857,109.2871761,35
150485_1.tex,non stop heuristic greedy,TRUE,8,15.44273782,90.74944844,20
151067_1.tex,non stop heuristic greedy,TRUE,7,14.46127319,71.44135954,30
151648_2.tex,non stop heuristic greedy,TRUE,15,32.04914594,203.4298509,46
152179_2.tex,non stop heuristic greedy,TRUE,3,5.593094349,31.0464,25
152244_2.tex,non stop heuristic greedy,FALSE,8,18.95127869,86.56420568,30
152655_3.tex,non stop heuristic greedy,TRUE,7,14.79669094,78.28067084,34
153803_1.tex,non stop heuristic greedy,TRUE,3,5.763048649,31.0464,20
154547_2.tex,non stop heuristic greedy,TRUE,3,6.807293653,30.63307926,35
155160_3.tex,non stop heuristic greedy,TRUE,10,21.49195695,108.6341444,37
155191_3.tex,non stop heuristic greedy,FALSE,21,49.96969604,286.4646448,55
155256_2.tex,non stop heuristic greedy,TRUE,10,21.42069197,106.740556,40
155296_1.tex,non stop heuristic greedy,TRUE,3,6.258842707,30.01535905,31
155351_3.tex,non stop heuristic greedy,TRUE,10,21.68122673,106.1504481,45
155749_2.tex,non stop heuristic greedy,TRUE,11,22.16371346,151.7613618,14
156274_1.tex,non stop heuristic greedy,TRUE,6,12.85977912,61.18222365,35
156974_2.tex,non stop heuristic greedy,TRUE,10,20.46688843,123.3739759,21
157200_1.tex,non stop heuristic greedy,TRUE,3,5.852407694,30.01,14
157897_3.tex,non stop heuristic greedy,TRUE,8,15.1646862,84.2830421,14
158504_3.tex,non stop heuristic greedy,TRUE,13,28.3407197,179.3677553,33
158694_3.tex,non stop heuristic greedy,TRUE,4,8.087707996,41.1888234,31
