Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
141731_2.tex,non stop regreession model greedy,TRUE,12,24.59066868,60.00998089,12
143313_1.tex,non stop regreession model greedy,FALSE,16,37.87192321,88.47504713,17
143456_3.tex,non stop regreession model greedy,TRUE,8,15.96937871,48.7934617,8
144045_2.tex,non stop regreession model greedy,TRUE,17,35.61773753,107.2627289,17
144919_2.tex,non stop regreession model greedy,TRUE,13,29.12341714,49.8651698,13
145668_2.tex,non stop regreession model greedy,TRUE,8,16.97229314,23.91560476,8
145952_3.tex,non stop regreession model greedy,TRUE,9,20.33795691,44.64783186,9
146502_2.tex,non stop regreession model greedy,TRUE,13,27.49494028,71.30371385,13
147160_1.tex,non stop regreession model greedy,TRUE,38,83.03336358,1067.226724,38
147168_3.tex,non stop regreession model greedy,TRUE,6,12.13040233,24.95578347,6
147778_2.tex,non stop regreession model greedy,FALSE,12,25.93183351,67.29421648,13
147934_1.tex,non stop regreession model greedy,TRUE,12,23.9801662,61.22238877,12
148148_2.tex,non stop regreession model greedy,TRUE,6,12.79828501,18.43134478,6
148278_1.tex,non stop regreession model greedy,TRUE,24,52.1864512,189.3862843,24
148434_3.tex,non stop regreession model greedy,TRUE,15,29.65395737,74.98229394,15
148891_1.tex,non stop regreession model greedy,TRUE,7,13.6600821,20.26633345,7
149395_1.tex,non stop regreession model greedy,TRUE,17,34.91561151,95.24938365,17
150369_2.tex,non stop regreession model greedy,TRUE,19,38.95139122,115.1869259,19
150397_2.tex,non stop regreession model greedy,TRUE,20,41.58695292,101.3758637,20
150485_1.tex,non stop regreession model greedy,TRUE,10,20.30259681,55.45115377,10
151067_1.tex,non stop regreession model greedy,TRUE,13,26.95157886,62.38325996,13
151648_2.tex,non stop regreession model greedy,TRUE,27,57.90003657,234.0428096,27
152179_2.tex,non stop regreession model greedy,TRUE,9,17.76022458,37.75920625,9
152244_2.tex,non stop regreession model greedy,TRUE,29,61.43994427,264.2195666,29
152655_3.tex,non stop regreession model greedy,TRUE,9,18.35592914,51.18313412,9
153803_1.tex,non stop regreession model greedy,TRUE,5,9.52538681,17.01962655,5
154547_2.tex,non stop regreession model greedy,TRUE,1,1.629377365,2.86862804,1
