Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
141731_2.tex,regreession model greedy,TRUE,12,24.89220977,60.00998089,12
143313_1.tex,regreession model greedy,FALSE,16,38.44174981,88.47504713,17
143456_3.tex,regreession model greedy,TRUE,8,16.03692555,48.7934617,8
144045_2.tex,regreession model greedy,TRUE,17,35.07398653,107.2627289,17
144919_2.tex,regreession model greedy,TRUE,13,29.28530622,49.8651698,13
145668_2.tex,regreession model greedy,TRUE,8,16.36596656,23.91560476,8
145952_3.tex,regreession model greedy,TRUE,9,20.43980122,44.64783186,9
146502_2.tex,regreession model greedy,TRUE,13,27.71212649,71.30371385,13
147160_1.tex,regreession model greedy,TRUE,38,82.60008526,1067.226724,38
147168_3.tex,regreession model greedy,TRUE,6,12.18538976,24.95578347,6
147778_2.tex,regreession model greedy,FALSE,12,26.21467805,67.29421648,13
147934_1.tex,regreession model greedy,TRUE,12,23.92283869,61.22238877,12
148148_2.tex,regreession model greedy,TRUE,6,12.27517104,18.43134478,6
148278_1.tex,regreession model greedy,TRUE,24,51.35631442,189.3862843,24
148434_3.tex,regreession model greedy,TRUE,15,29.56147122,74.98229394,15
148891_1.tex,regreession model greedy,TRUE,7,13.74331284,20.26633345,7
149395_1.tex,regreession model greedy,TRUE,17,35.61978245,95.24938365,17
150369_2.tex,regreession model greedy,TRUE,19,39.33175945,115.1869259,19
150397_2.tex,regreession model greedy,TRUE,20,42.55310082,101.3758637,20
150485_1.tex,regreession model greedy,TRUE,10,19.561656,55.45115377,10
151067_1.tex,regreession model greedy,TRUE,13,26.35931134,62.38325996,13
151648_2.tex,regreession model greedy,TRUE,27,54.43933487,234.0428096,27
152179_2.tex,regreession model greedy,TRUE,9,18.24343443,37.75920625,9
152244_2.tex,regreession model greedy,TRUE,29,59.82886672,264.2195666,29
152655_3.tex,regreession model greedy,TRUE,9,18.45932388,51.18313412,9
153803_1.tex,regreession model greedy,TRUE,5,9.314211369,17.01962655,5
154547_2.tex,regreession model greedy,TRUE,1,1.702610016,2.86862804,1
155160_3.tex,regreession model greedy,TRUE,20,43.90277433,92.55093727,20
155191_3.tex,regreession model greedy,FALSE,41,93.71092963,650.2184027,41
155256_2.tex,regreession model greedy,TRUE,16,33.94573116,79.21967115,16
155296_1.tex,regreession model greedy,TRUE,7,14.06336594,18.31955153,7
