Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
141731_2.tex,simple greedy,TRUE,13,32.30339932,66.54595148,13
143313_1.tex,simple greedy,TRUE,20,45.10748816,114.8016119,20
143456_3.tex,simple greedy,TRUE,9,18.26142383,52.21486365,9
144045_2.tex,simple greedy,TRUE,17,35.9601264,106.6888366,17
144919_2.tex,simple greedy,TRUE,16,36.67534828,60.91082345,16
145668_2.tex,simple greedy,TRUE,8,17.26330352,22.90005069,8
145952_3.tex,simple greedy,TRUE,9,20.68079162,43.27263821,9
146502_2.tex,simple greedy,TRUE,17,36.24260664,102.0566604,17
147160_1.tex,simple greedy,TRUE,35,76.59795761,765.5257676,35
147168_3.tex,simple greedy,TRUE,7,13.44194722,17.48455517,7
147778_2.tex,simple greedy,FALSE,12,26.16153741,53.99687362,0
147934_1.tex,simple greedy,TRUE,13,25.94661117,60.04223347,13
148148_2.tex,simple greedy,TRUE,6,12.34875131,13.62225242,6
148278_1.tex,simple greedy,TRUE,24,52.89411616,186.8789549,24
148434_3.tex,simple greedy,TRUE,14,27.15480542,69.75424032,14
148891_1.tex,simple greedy,TRUE,7,13.40552974,19.35374774,7
149395_1.tex,simple greedy,TRUE,13,25.5643785,69.72851607,13
150369_2.tex,simple greedy,TRUE,19,39.31056857,115.3195067,19
150397_2.tex,simple greedy,TRUE,21,44.39398718,106.1190311,21
150485_1.tex,simple greedy,TRUE,7,14.10034323,30.8531174,7
151067_1.tex,simple greedy,TRUE,12,24.97568941,57.24502072,12
151648_2.tex,simple greedy,TRUE,28,57.27720642,222.3245452,28
152179_2.tex,simple greedy,TRUE,10,18.77936912,40.52256413,10
152244_2.tex,simple greedy,FALSE,21,45.57015252,147.9020106,0
152655_3.tex,simple greedy,TRUE,15,30.91592479,72.82762953,15
153803_1.tex,simple greedy,TRUE,4,6.992732525,10.025668,4
154547_2.tex,simple greedy,TRUE,1,1.507470369,0,1
155160_3.tex,simple greedy,TRUE,20,43.19872093,92.69079876,20
155191_3.tex,simple greedy,TRUE,42,94.4577477,607.120272,42
155256_2.tex,simple greedy,TRUE,15,30.85891056,64.43236043,15
155296_1.tex,simple greedy,TRUE,8,15.41562796,21.53357885,8
155351_3.tex,simple greedy,TRUE,16,32.53078699,68.05707036,16
155749_2.tex,simple greedy,TRUE,13,26.56779242,152.961783,13
156274_1.tex,simple greedy,TRUE,8,16.31980824,25.21416444,8
156974_2.tex,simple greedy,TRUE,15,30.0219872,107.1753072,15
157200_1.tex,simple greedy,FALSE,5,12.8261447,18.11978089,0
157897_3.tex,simple greedy,TRUE,10,18.54687595,102.0797951,10
158504_3.tex,simple greedy,TRUE,23,47.64285636,158.3884947,23
158694_3.tex,simple greedy,TRUE,13,27.92628431,51.1763812,13
159060_2.tex,simple greedy,TRUE,25,54.04748964,166.7026562,25
159605_1.tex,simple greedy,TRUE,14,29.08341193,59.0886779,14
159678_3.tex,simple greedy,TRUE,25,57.46020889,193.0591716,25
160240_2.tex,simple greedy,FALSE,36,76.03022575,1112.016154,36
161955_3.tex,simple greedy,TRUE,34,70.50494003,230.9594547,34
162163_1.tex,simple greedy,TRUE,9,18.64927602,49.88790387,9
162879_3.tex,simple greedy,TRUE,14,28.23598075,86.74206193,14
162955_2.tex,simple greedy,TRUE,8,16.07736802,21.0398726,8
163206_1.tex,simple greedy,TRUE,9,18.71905136,59.70424885,9
163360_3.tex,simple greedy,TRUE,14,29.05675888,83.14836968,14
163997_1.tex,simple greedy,TRUE,15,30.95291543,86.52767062,15
164060_2.tex,simple greedy,TRUE,8,15.37925553,56.28397394,8
164063_2.tex,simple greedy,TRUE,16,33.32820582,105.5116262,16
164519_3.tex,simple greedy,TRUE,14,27.33537221,53.71452358,14
164597_1.tex,simple greedy,FALSE,10,20.72398138,54.71859028,0
164841_1.tex,simple greedy,TRUE,10,20.36966062,50.33144758,10
164920_3.tex,simple greedy,TRUE,11,22.33565307,57.15879998,11
165142_2.tex,simple greedy,TRUE,15,28.49403453,108.7294199,15
165804_1.tex,simple greedy,TRUE,8,16.51945424,30.5062306,8
166256_1.tex,simple greedy,TRUE,11,21.6403029,56.18751749,11
167078_1.tex,simple greedy,TRUE,14,29.47730637,164.7994573,14
167621_1.tex,simple greedy,TRUE,10,20.9002986,71.34793559,10
168239_3.tex,simple greedy,FALSE,38,86.23557925,617.8055758,0
168414_3.tex,simple greedy,FALSE,16,35.10489368,87.74709596,0
169269_2.tex,simple greedy,TRUE,11,22.18945694,53.81502175,11
169274_1.tex,simple greedy,TRUE,8,16.40510678,31.62141146,8
169290_1.tex,simple greedy,TRUE,11,23.77147079,39.80773018,11
169460_1.tex,simple greedy,TRUE,14,27.76682997,75.2280832,14
169473_1.tex,simple greedy,TRUE,16,32.29916477,64.6466376,16
170610_2.tex,simple greedy,TRUE,28,55.98997927,202.0541563,28
170862_1.tex,simple greedy,TRUE,5,10.13057256,20.2038652,5
172061_3.tex,simple greedy,TRUE,13,25.49755812,85.20973112,13
172538_2.tex,simple greedy,TRUE,13,26.29589295,59.6831915,13
172702_3.tex,simple greedy,TRUE,12,22.23503017,71.24988655,12
172901_1.tex,simple greedy,TRUE,15,32.98210454,68.70706438,15
173004_2.tex,simple greedy,TRUE,20,42.53320789,96.33709271,20
173006_1.tex,simple greedy,TRUE,10,20.3789885,32.83007031,10
173102_1.tex,simple greedy,TRUE,16,34.37140274,74.92534797,16
14553_3.tex,simple greedy,TRUE,1,6.403972387,0,1
15507_1.tex,simple greedy,TRUE,25,53.67155647,170.8515799,25
16152_2.tex,simple greedy,TRUE,14,27.03890944,64.24216276,14
17137_1.tex,simple greedy,TRUE,11,19.86063409,55.82477774,11
17711_1.tex,simple greedy,TRUE,44,96.10858393,372.7694028,44
17759_2.tex,simple greedy,TRUE,21,43.52483249,120.917615,21
19867_3.tex,simple greedy,TRUE,8,16.30880857,27.03369125,8
20334_1.tex,simple greedy,TRUE,8,14.54621339,48.37136395,8
20451_3.tex,simple greedy,TRUE,15,28.77036405,94.2806233,15
20464_1.tex,simple greedy,TRUE,15,31.62954211,116.3600338,15
20796_3.tex,simple greedy,TRUE,9,16.94567823,42.53433865,9
22567_2.tex,simple greedy,TRUE,5,9.740763426,14.81566984,5
22638_3.tex,simple greedy,TRUE,27,53.05095482,192.741077,27
22640_3.tex,simple greedy,TRUE,11,21.07076502,50.24968602,11
22663_1.tex,simple greedy,TRUE,21,42.61632705,99.73071133,21
23070_1.tex,simple greedy,FALSE,10,22.81509924,62.21665262,0
24043_2.tex,simple greedy,TRUE,14,28.05757904,95.18007334,14
24281_2.tex,simple greedy,TRUE,27,56.26045251,198.2651475,27
25685_3.tex,simple greedy,TRUE,24,53.11285925,168.3102076,24
26323_2.tex,simple greedy,TRUE,26,56.31843591,237.2562704,26
26923_2.tex,simple greedy,TRUE,28,59.38987327,336.3879817,28
27473_2.tex,simple greedy,TRUE,24,47.13184428,213.4574525,24
27941_2.tex,simple greedy,FALSE,14,30.34671688,69.42287197,0
2906_3.tex,simple greedy,TRUE,14,29.33538866,123.5794065,14
30094_1.tex,simple greedy,FALSE,9,19.83090544,30.17029102,0
30715_3.tex,simple greedy,TRUE,16,32.18941069,94.14050695,16
31168_2.tex,simple greedy,TRUE,24,47.98646688,140.9230933,24
32170_1.tex,simple greedy,TRUE,15,31.65464592,60.39250725,15
