,results0,results1,results2,results3,results4,results5,results6,results7
operators_max,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
iterations,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0
reduced,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
original_height,29.8878000000002,29.8878000000002,29.8878000000002,29.8878000000002,29.8878000000002,29.8878000000002,29.8878000000002,29.8878000000002
last_page_height,1150.0490994029415,1150.0142303029415,1150.0839685029414,1145.2730303029416,1150.0490994029415,1150.0490994029415,1150.0839685029414,1150.0839685029414
gained,-1120.1612994029413,-1120.1264303029413,-1120.1961685029414,-1115.3852303029412,-1120.1612994029413,-1120.1612994029413,-1120.1961685029414,-1120.1961685029414
cost,15.44379467411762,18.386869674117627,17.568305536617615,23.009345236617612,15.44379467411762,15.44379467411762,18.897708349117615,17.568305536617615
time_taken,11.66030752658844,38.649201691150665,26.03512990474701,32.69938886165619,9.873315215110779,29.654320001602173,22.97737729549408,14.599156439304352
max_len_tree,-1.0,-1.0,126.25,122.25,-1.0,-1.0,126.25,122.25
operators_count,1.0,2.0,1.0,2.0,1.0,1.75,1.0,1.5
