,results0,results1,results2,results3,results4,results5,results6,results7
operators_max,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
iterations,1.0,1.0,1.0,1.0,5.0962962962962965,4.313432835820896,0.9829059829059829,1.8345323741007193
reduced,15.0,12.0,26.0,35.0,83.0,99.0,26.0,67.0
original_height,30.19411773049662,30.19852517985628,30.20077681159436,30.15215620437972,29.99371851851868,30.009379104477773,30.197345299145457,30.162689208633246
last_page_height,135.73319098395598,120.51739879091934,234.2343194024729,300.8775055925546,676.7896433283947,838.5529317033172,253.42146756676613,551.3620646013726
gained,-105.53907325345936,-90.31887361106307,-204.03354259087848,-270.72534938817483,-646.795924809876,-808.5435525988395,-223.2241222676206,-521.1993753927394
cost,14.874326451111994,16.1811353323726,15.808790818542679,21.86466175128097,32.67702053575531,43.19289501932011,20.62133792399335,32.59400358145559
time_taken,13.640177165362852,44.49043869457657,27.47264688429625,25.308803448711867,19.109813271628486,85.44551812712825,19.705995893885948,25.28775273981712
max_len_tree,-1.0,-1.0,50.572463768115945,48.01459854014598,-1.0,-1.0,47.965811965811966,35.34532374100719
operators_count,0.10638297872340426,1.9280575539568345,0.18840579710144928,1.2335766423357664,0.6148148148148148,1.1567164179104477,0.23931623931623933,1.8992805755395683
