,results0,results1,results2,results3,results4,results5,results6,results7
operators_max,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
iterations,1.0,1.0,1.0,1.0,2.0240963855421685,2.515151515151515,1.5,1.8208955223880596
reduced,15.0,12.0,26.0,35.0,83.0,99.0,26.0,67.0
original_height,30.874113333333533,29.8878000000002,30.156030769230956,29.67432857142874,29.886013253012234,29.876241414141596,29.56212692307706,29.791162686567333
last_page_height,1056.8475152491847,1122.6151443281474,1118.7743183669706,1094.4089304622846,1085.2283560160636,1114.251560218631,1042.4239386658314,1111.7842608894146
gained,-1025.9734019158511,-1092.7273443281472,-1088.6182875977397,-1064.7346018908559,-1055.3423427630514,-1084.3753188044896,-1012.8618117427542,-1081.9930982028475
cost,12.511135511990252,18.73867066915449,39.11710044714156,51.55597942879622,38.1085899198794,42.456275158150476,55.036324233085416,54.22130317880152
time_taken,11.129635524749755,43.34813072284063,59.701639028695915,44.30846485410418,21.544034911925536,76.52356446632231,45.49192482691545,30.867737841250293
max_len_tree,-1.0,-1.0,88.0,55.542857142857144,-1.0,-1.0,91.53846153846153,61.014925373134325
operators_count,1.0,2.0,1.0,1.9714285714285715,1.0,1.4545454545454546,1.0769230769230769,2.8358208955223883
