docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,operators_count
Retrospective Reader for,greedy-atOnce,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,12.708131474999988,23.528998613357544,-1,2
Revisiting Mahalanobis Distance,greedy-atOnce,2,1,True,29.887800000000198,1240.8519280964483,-1210.9641280964481,16.202062087291736,18.813431978225708,-1,2
Source-Target Inference Models,greedy-atOnce,2,1,False,29.887800000000198,29.887800000000198,0.0,11.712247750000017,12.366222381591797,-1,2
Synchronous Speech Recognition,greedy-atOnce,2,1,False,29.887800000000198,29.887800000000198,0.0,13.376835224999994,15.770190477371216,-1,2
Task-Driven Causal Feature,greedy-atOnce,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,19.20703522499997,11.954443216323853,-1,2
That_s Mine! Learning,greedy-atOnce,2,1,False,28.39350000000013,28.39350000000013,0.0,9.334368949999984,12.198410987854004,-1,2
The Complexity of,greedy-atOnce,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,23.155515200000025,23.535897970199585,-1,2
Title-Guided Encoding for,greedy-atOnce,2,1,False,26.899199999999723,17.932799999999816,8.966399999999908,18.002806900000053,41.15245819091797,-1,2
Token-Level,greedy-atOnce,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,18.671886399999963,17.998347997665405,-1,2
Token-Level Contrastive Learning,greedy-atOnce,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,21.70840159999996,24.826315879821777,-1,2
Top-N Recommender System,greedy-atOnce,2,1,False,26.899199999999723,26.899199999999723,0.0,11.078381474999958,26.731558322906494,-1,2
Topical Phrase Extraction,greedy-atOnce,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,15.026811349999988,18.505611419677734,-1,2
Topological Pooling on,greedy-atOnce,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,22.160651600000023,32.980241775512695,-1,2
Toward a Human-Level,greedy-atOnce,2,1,False,29.887800000000198,29.887800000000198,0.0,18.848136400000016,10.318759441375732,-1,2
Towards an Integrative,greedy-atOnce,2,1,False,29.887800000000198,29.887800000000198,0.0,19.13238640000003,21.02095890045166,-1,2
Towards Autonomous Satellite,greedy-atOnce,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,21.231651599999935,25.52473521232605,-1,2
Towards Cognitive Robots,greedy-atOnce,2,1,False,29.887800000000198,29.887800000000198,0.0,12.396757599999978,16.072290658950806,-1,2
Treatment effect estimation,greedy-atOnce,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,29.85231520000002,12.986344337463379,-1,2
