docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,operators_count
2318_18,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,25.26284999999993,12.830928802490234,-1,0
24147,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.173930900000016,9.690619707107544,-1,0
A Comparison of,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,28.068815199999904,10.953181266784668,-1,0
A Critical Look,greedy-separate,2,1,True,29.887800000000198,1172.6461592000019,-1142.7583592000017,21.7877728,12.69096302986145,-1,1
A Domain Generalization,greedy-separate,2,1,False,29.887800000000198,39.85040000000026,-9.962600000000066,20.064400000000035,7.8542938232421875,-1,0
A Knowledge Driven,greedy-separate,2,1,False,26.899199999999723,26.899199999999723,0.0,5.325347199999982,7.581993579864502,-1,0
A Multilayer Convolutional,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,18.65318440000003,8.50694489479065,-1,0
A Natural Language,greedy-separate,2,1,False,28.39350000000013,28.39350000000013,0.0,8.172088000000002,12.934250116348267,-1,0
A Question-Answering Approach,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,5.556257600000009,6.730022668838501,-1,0
A Student-Teacher Architecture,greedy-separate,2,1,True,29.887800000000198,1103.8120899999994,-1073.9242899999992,17.409299999999917,11.608996152877808,-1,1
A Unified Implicit,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,8.263235300000048,9.6464262008667,-1,0
Abusive Language Detection,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,23.767515200000048,10.569863319396973,-1,0
Accelerating the Development,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,15.847272799999956,9.887082815170288,-1,0
Accurate and Interpretable,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,17.45277279999999,9.265684127807617,-1,0
Action Branching Architectures,greedy-separate,2,1,True,29.887800000000198,1289.6458862000018,-1259.7580862000016,21.282401599999986,13.147517442703247,-1,1
AUPCR Maximizing Matchings,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,16.784384399999993,10.735997438430786,-1,0
Balanced Linear Contextual,greedy-separate,2,1,False,28.39350000000013,9.464500000000044,18.929000000000087,11.694673049999977,10.294942140579224,-1,0
Beyond,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,15.660505349999937,10.286225080490112,-1,0
Bidirectional Temporal Plan,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,14.691894000000019,12.220662117004395,-1,0
BOK,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,14.967845600000032,11.314525604248047,-1,0
Capturing Delayed Feedback,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.206886400000016,10.971039772033691,-1,0
Cisco at AAAI-CAD21,greedy-separate,2,1,True,29.887800000000198,1301.570279800003,-1271.6824798000027,21.81282080000001,12.911048650741577,-1,1
Crowdsourcing real-time viral,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,13.790515200000016,9.001164674758911,-1,0
Deep Just-In-Time Inconsistency,greedy-separate,2,1,False,36.86179999999979,36.86179999999979,0.0,20.94851520000003,10.285842895507812,-1,0
Deep Open Intent,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,20.77498030000004,9.175472974777222,-1,0
Deep Spiking Neural,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,23.820030400000007,23.798694133758545,-1,0
Delving into Sample,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,38.59003039999993,11.140869140625,-1,0
Detection of social,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,13.237216799999942,8.032808065414429,-1,0
Deterministic and Discriminative,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.531886400000019,17.574424743652344,-1,0
Discriminative Sentence Modeling,greedy-separate,2,1,False,28.39350000000013,28.39350000000013,0.0,6.167757599999959,6.821103811264038,-1,0
Evaluating Digital Agriculture,greedy-separate,2,1,False,26.899199999999723,17.932799999999816,8.966399999999908,18.030272800000034,10.057867765426636,-1,0
Evaluating Sequence-to-Sequence Learning,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,16.258757599999967,7.858169794082642,-1,0
Evaluation of a,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,17.108492825000013,9.07638168334961,-1,0
Evaluation of Fake,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,13.947357599999975,12.541455507278442,-1,0
Evolutionarily-Curated Curriculum Learning,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,24.063761200000016,6.606518745422363,-1,0
Exact Reduction of,greedy-separate,2,1,True,44.68250000000023,202.23250780000137,-157.55000780000114,6.555909799999938,9.905042171478271,-1,1
Expected Value of,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.921107600000028,12.31500792503357,-1,0
Explainable Failure Predictions,greedy-separate,2,1,False,26.899199999999723,17.932799999999816,8.966399999999908,2.5353303999999923,8.124051570892334,-1,0
Explaining Neural Network,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.780206299999989,159.95045447349548,-1,0
Explaining Reward Functions,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,18.682151599999997,8.881958484649658,-1,0
Exploiting Cross-Lingual Subword,greedy-separate,2,1,True,26.899200000000064,1394.2538400000042,-1367.354640000004,0.0,29.544904470443726,-1,1
Exploiting Language Models,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,15.261236400000001,10.956603050231934,-1,0
Exploiting Multiple Abstractions,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,8.604752674999986,18.429794788360596,-1,0
Exploring Gameplay With,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,12.228515199999947,8.421085596084595,-1,0
Exploring the Efficacy,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,17.923386400000012,11.117835998535156,-1,0
Fair Conformal Predictors,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,16.09828999999999,18.138021230697632,-1,0
Fast,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,25.322030400000017,12.320865631103516,-1,0
Fast and Knowledge-Free,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,25.322030400000017,12.299782752990723,-1,0
Few-Shot Learning for,greedy-separate,2,1,True,29.887800000000198,1001.9396249000001,-972.0518248999999,13.132669050000004,9.171462297439575,-1,1
Finding All Bayesian,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,21.370464800000093,11.617255687713623,-1,0
Fine-Grained Car Detection,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,11.691857599999963,9.888011455535889,-1,0
Fine-grained Retrieval Prompt,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,8.375886400000013,13.247015953063965,-1,0
Fixation Maximization in,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,8.361386399999986,13.421783447265625,-1,0
Forecasting with Sparse,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,11.265607600000038,16.60523772239685,-1,0
Frame and Feature-Context,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,5.630623875000012,17.499422311782837,-1,0
Game-theoretic Approach for,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,7.661410799999999,11.695613384246826,-1,0
Generalized Planning in,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,5.282757599999968,12.142821550369263,-1,0
Generative structured normalizing,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.146386399999969,9.076425552368164,-1,0
Geometric,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.850136400000011,27.106154918670654,-1,0
Harnessing the Power,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,21.912505349999947,12.705086469650269,-1,0
