



















































































































docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,compilations,operators_applied
2318_18,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,7.852799999999945,18.951854705810547,-1,1,2
24147,greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,83.06498704785,18.598546743392944,-1,2,4
A Comparison of,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,10.659515199999987,11.152098178863525,-1,1,2
A Critical Look,greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,18.036143999999993,59.11111402511597,-1,2,4
A Domain Generalization,greedy-atOnce,2,1,False,29.887800000000198,29.887800000000198,0.0,0.0,3.4442241191864014,-1,0,0
A Knowledge Driven,greedy-atOnce,2,1,False,26.899199999999723,0.0,26.899199999999723,5.325347199999982,65.44629621505737,-1,1,2
A Multilayer Convolutional,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,20.56852829999997,17.707024574279785,-1,2,4
A Natural Language,greedy-atOnce,2,1,False,28.39350000000013,0.0,28.39350000000013,8.172088000000002,34.25291872024536,-1,2,4
A Question-Answering Approach,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,5.556257600000009,62.945921897888184,-1,1,2
A Student-Teacher Architecture,greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,25.782006600000017,14.552465677261353,-1,2,4
A Unified Implicit,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,8.563118950000018,25.532349109649658,-1,2,4
Abusive Language Detection,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,64.26928578750011,26.336758852005005,-1,2,4
Accelerating the Development,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,15.847272799999956,43.38925313949585,-1,2,4
Accurate and Interpretable,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,17.45277279999999,39.482887983322144,-1,2,4
Action Branching Architectures,greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,21.282401599999986,24.914682388305664,-1,2,4
AUPCR Maximizing Matchings,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,19.498265200000006,26.45693278312683,-1,2,4
Balanced Linear Contextual,greedy-atOnce,2,1,False,28.39350000000013,0.0,28.39350000000013,18.71477279999999,34.761056900024414,-1,2,4
Beyond,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,15.660505349999937,68.56160736083984,-1,2,4
Bidirectional Temporal Plan,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,17.814772799999957,18.665300130844116,-1,2,4
BOK,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,14.967845600000032,53.68684720993042,-1,2,4
Capturing Delayed Feedback,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,9.206886400000016,23.949551343917847,-1,2,4
Cisco at AAAI-CAD21,greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,21.81282080000001,58.18678426742554,-1,2,4
Crowdsourcing real-time viral,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,13.790515200000016,16.44401478767395,-1,1,2
Deep Just-In-Time Inconsistency,greedy-atOnce,2,1,False,36.86179999999979,0.0,36.86179999999979,15.474257600000016,28.190020084381104,-1,2,4
Deep Open Intent,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,20.77498030000004,44.70550847053528,-1,2,4
Deep Spiking Neural,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,23.820030400000007,37.873663663864136,-1,2,4
Delving into Sample,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,38.59003039999993,24.837843894958496,-1,2,4
Detection of social,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,13.237216799999942,29.784379959106445,-1,2,4
Deterministic and Discriminative,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,9.531886400000019,28.30690836906433,-1,2,4
Discriminative Sentence Modeling,greedy-atOnce,2,1,False,28.39350000000013,0.0,28.39350000000013,19.549272799999983,36.84345555305481,-1,2,4
Evaluating Digital Agriculture,greedy-atOnce,2,1,False,26.899199999999723,0.0,26.899199999999723,18.030272800000034,45.85639762878418,-1,2,4
Evaluating Sequence-to-Sequence Learning,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,20.0,13.700998067855835,-1,2,4
Evaluation of a,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,17.108492825000013,35.37953758239746,-1,2,4
Evaluation of Fake,greedy-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,15.45519999999999,19.28218412399292,-1,2,4
