docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,operators_count
2318_18,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,25.26284999999993,10.847027778625488,-1,0
24147,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.173930900000016,9.952595710754395,-1,0
A Comparison of,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,10.659515199999987,7.5273048877716064,-1,0
A Critical Look,greedy-separate,2,1,True,29.887800000000198,1162.6845592000013,-1132.7967592000011,17.503257600000012,13.123510599136353,-1,1
A Domain Generalization,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,20.064400000000035,7.336111545562744,-1,0
A Multilayer Convolutional,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,19.410548000000006,8.450384855270386,-1,0
A Natural Language,greedy-separate,2,1,False,28.39350000000013,28.39350000000013,0.0,8.172088000000002,12.71129322052002,-1,0
A Student-Teacher Architecture,greedy-separate,2,1,True,29.887800000000198,1103.8120899999994,-1073.9242899999992,17.409299999999917,9.571348905563354,-1,1
Accelerating the Development,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,20.564515200000073,8.863749742507935,-1,0
Accurate and Interpretable,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,16.259257599999955,9.21572756767273,-1,0
Action Branching Architectures,greedy-separate,2,1,True,29.887800000000198,1289.6458862000018,-1259.7580862000016,21.282401599999986,11.798451662063599,-1,1
AUPCR Maximizing Matchings,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,8.814978800000006,10.984472513198853,-1,0
Balanced Linear Contextual,greedy-separate,2,1,False,28.39350000000013,18.929000000000087,9.464500000000044,18.71477279999999,10.028332948684692,-1,0
Bidirectional Temporal Plan,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,14.691893999999934,11.842860460281372,-1,0
BOK,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,11.54891840000002,13.089531183242798,-1,0
Capturing Delayed Feedback,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.206886400000016,11.685817956924438,-1,0
Cisco at AAAI-CAD21,greedy-separate,2,1,True,29.887800000000198,1301.570279800003,-1271.6824798000027,21.81282080000001,10.226219415664673,-1,1
Crowdsourcing real-time viral,greedy-separate,2,1,True,29.887800000000198,1083.1142398000009,-1053.2264398000007,9.899999999999999,6.624108076095581,-1,1
Deep Just-In-Time Inconsistency,greedy-separate,2,1,False,36.86179999999979,36.86179999999979,0.0,0.0,2.0880815982818604,-1,0
Deep Open Intent,greedy-separate,2,1,True,29.887800000000198,1126.0232640000013,-1096.135464000001,17.52794882500001,10.138457775115967,-1,1
Deep Spiking Neural,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,21.064515200000017,20.615142822265625,-1,0
Delving into Sample,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,11.8945152,7.932415008544922,-1,0
Detection of social,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,24.579707999999897,7.388290166854858,-1,0
Deterministic and Discriminative,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,11.87926520000002,15.022990226745605,-1,0
Discriminative Sentence Modeling,greedy-separate,2,1,False,28.39350000000013,18.929000000000087,9.464500000000044,19.549272799999983,9.01790714263916,-1,0
Evaluating Digital Agriculture,greedy-separate,2,1,False,26.899199999999723,69.73820000000046,-42.83900000000074,16.543757599999992,10.278878688812256,-1,0
Evaluating Sequence-to-Sequence Learning,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,20.0,7.980700969696045,-1,0
Evaluation of a,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,10.038002675000001,9.410119533538818,-1,0
Evaluation of Fake,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,21.651401599999986,11.551426410675049,-1,0
Evolutionarily-Curated Curriculum Learning,greedy-separate,2,1,False,29.887800000000198,49.81300000000033,-19.92520000000013,18.304725400000024,5.97658896446228,-1,0
Exact Reduction of,greedy-separate,2,1,False,44.68250000000023,44.68250000000023,0.0,6.555909799999938,9.902918577194214,-1,0
Expected Value of,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,14.39139400000002,11.321266412734985,-1,0
Explainable Failure Predictions,greedy-separate,2,1,False,26.899199999999723,17.932799999999816,8.966399999999908,2.5353303999999923,7.490741491317749,-1,0
