's-Hertogenbosch,2849;3195;5277;658
Accra,1067;1329;1374;1532;1853;1967;2046;3615;4072;4154
Ad Damman,1209;1433;1513;183;2005;2103;2261;2906;3790;4108;4160;4164;5062;5175;5355;5419;5477;5848;5935;6206;670;713;730
Ajman,1245;2759;2798;2999;3787;4160;4445;4789;5514;5551
Alajuela,1053;1402;1430;1506;1638;1682;1699;1756;1785;1803;1839;2069;2185;2411;2462;2464;2607;2609;2810;2942;3130;3229;3248;3316;3406;3535;3587;3629;4106;4135;4184;4269;4452;4506;453;4552;4714;5031;5361;544;5620;582;5963;6065;6116;6135;6169;6449
Almaty,1314;1550;1645;1647;1916;2727;2813;3164;3395;3637;3828;3904;3975;3994;4062;4658;486;4887;5029;530;537;5558;6113;619;6288;6476;704;872;916
Amman,1351;1371;2166;2187;2293;2359;237;2536;26;2630;2775;2869;304;3508;3657;3968;4159;4324;4358;4384;4701;4711;4826;4915;5007;5065;5488;5780;5843;5881;6003;6175;635;6472
Antwerpen,1058;1114;1220;1226;1387;1561;1573;1653;1861;1862;191;2034;2139;2143;2257;2375;2394;240;2428;2431;2448;2606;2702;2849;3014;306;3082;3251;3312;3372;3476;3672;3701;3820;3831;3842;4008;4047;410;4130;4143;4210;4438;4442;458;4625;4656;4721;48;4825;483;4993;5075;5081;5149;5440;5444;5490;555;5719;5829;6263;6326;6378;6454;828;900
Asuncion,1034;1081;1091;1102;1112;114;1192;1206;1227;1229;1270;1274;1308;1368;1391;1392;1420;1424;1467;1503;1531;1537;1540;1565;1611;1677;1680;1684;172;176;177;1860;1879;1913;1923;1927;2039;213;2216;2283;2301;238;2385;2401;2442;2449;2470;2551;2593;2624;2646;266;2708;2792;2871;2938;2965;2991;3004;3042;3067;3111;3166;3179;3257;339;3479;351;3512;3513;3581;3619;3623;3647;3662;3676;3697;3723;3764;3766;3776;3785;3874;3965;3972;4016;4041;4045;4052;4140;4200;4278;4297;434;4362;4390;4419;4466;4504;4512;4515;4524;4530;4569;4580;4610;4632;4655;470;4713;4736;4755;4790;4821;4920;4941;4953;4973;5045;5098;510;5172;5246;5269;5279;5327;539;5401;5493;5520;5529;5616;562;5661;5715;5771;579;5800;5820;5885;5916;5934;5973;5976;6074;6094;6111;6121;6129;6131;6132;6152;618;6188;6213;6234;6265;6364;6442;6473;6477;6524;667;741;755;797;86;88;880;904;926;941;955
Auckland,1340;159;1977;2371;2658;3246;366;391;4087;4600;4892;532;6272;638;915
B'abda,1189;1490;1852;2014;2111;2218;2380;254;3099;3548;3636;4084;4783;506;5794;787;79
Baku,1543;1686;1874;2037;2126;2634;2921;3174;3185;3285;3359;3722;4558;4806;5057;529;5298;5858;6501
Banda Aceh,1750;1834;2092;2226;2398;243;3416;373;3773;3794;399;406;4617;4756;4906;5171;5200;5232;5234;5632;5666;5669;5748;5901;5986;6201;6264;6427;6455;737;803;854
Beirut,1189;1260;1282;1490;1689;1707;1852;1943;1980;2045;2111;2218;2309;2329;2339;2380;251;254;2620;2674;2869;3075;3099;3170;3196;3218;3287;3410;3478;3532;3536;3548;3630;3636;3669;3926;402;4020;4084;4161;4193;4238;4250;4379;4407;4429;4783;4928;506;5192;5376;5561;5667;5747;5794;6194;625;689;775;787;79
Bogota,1000;1020;1032;1089;1185;1190;120;1213;1246;1361;1362;1413;144;15;1502;1526;1533;1535;154;1554;1556;1558;1564;1605;1620;1631;1675;1709;1726;1742;1746;1749;1757;1760;1789;1806;1869;1873;1924;1945;1961;1993;2023;2040;2134;2184;2204;2237;233;2372;2419;2433;2446;2471;2523;2529;2553;2569;2577;2584;267;2693;2715;2721;2777;2884;2916;30;3034;3055;3070;3089;3094;3113;317;3187;3199;3229;3240;3289;3313;3320;3358;3386;3406;3447;3470;3481;3506;3598;3602;3613;3661;3671;3694;3789;3792;3799;3868;3873;3875;388;3948;3951;3959;3970;3996;3998;4000;4023;4109;413;4166;417;4174;418;4214;4230;4256;4350;4374;4376;438;4380;4389;4424;4476;4486;4536;4543;4565;4574;4630;4679;4680;4706;474;4793;4844;4845;4868;4876;4905;4929;4952;4974;4976;502;5042;5089;5116;5123;5148;5151;5156;5169;5250;5251;5267;5306;5314;5322;5357;5387;5416;5424;5447;5448;545;5484;5512;5541;5542;5570;5579;5607;5612;5613;5619;5653;5680;5733;5840;588;59;5903;5917;6013;6019;6038;6041;6053;606;6140;6168;6221;6230;6231;6317;6372;6434;6438;6443;6496;6507;668;67;678;685;733;796;814;818;859;959;966
Bologna,1666;2053;2260;293;3210;3307;3405;3644;372;3907;4540;5021;691
Bolu,3461
Brasilia,100;1003;1019;1029;1059;1099;115;1262;1294;1305;1472;1476;1504;1507;1508;1509;1544;1577;16;179;1838;1929;1939;1979;2006;2028;2036;2084;2108;2124;2136;2147;2181;223;2236;2262;2265;2274;2308;2429;2476;2491;2541;2572;2597;261;2660;2728;2760;2788;2796;2819;2834;2850;2859;2862;2902;2937;2957;2989;3030;3063;3123;3124;3168;3172;3197;3208;3209;3213;3236;3244;3254;3283;3345;3352;3399;3408;3495;3516;3560;3576;3625;3632;3650;3730;3836;3882;3883;3885;3893;3898;3958;3961;3963;4022;4048;4051;4075;4076;4114;4123;4131;4167;4183;4212;4267;4298;4344;437;4408;4414;4416;4422;4456;4497;4545;4547;4603;4621;4642;4648;4649;4716;4738;479;4816;4842;4908;4942;5009;5038;5093;5118;517;5208;5247;528;5391;5453;5455;5457;5466;549;5507;5531;5546;5566;5575;5591;5615;5634;5645;5726;5735;5740;5749;5832;5852;5864;5869;5875;5910;5926;5953;5958;598;5989;5990;6058;610;6114;6119;6123;6154;6179;6187;6241;626;6321;6338;6346;6370;6382;639;6445;6515;672;676;679;70;729;770;798;82;866;908;918;927;994
Bruges,107;1573;1589;1861;1863;1895;1910;1991;2009;2365;2431;2955;3050;3312;3549;4110;4327;4358;4440;4442;4656;5095;5440;5494
Bucharest,1525;3176;3751;3902;4346;4398;4484;4485;4581;4930;5428;5445;5984;6261;6276;654;769
Budapest,1005;1073;1098;1141;1237;1265;1376;1471;1614;1615;1628;1644;192;2067;2145;220;2229;2240;2305;2310;2540;2619;2631;264;2664;2672;2751;2832;2865;3288;3301;3361;3397;34;3421;3483;3639;3649;3710;3712;3881;3910;3913;3919;4030;4306;445;4592;4645;4749;4923;493;5002;5058;5097;513;5149;5242;5244;5346;5433;5451;5497;5723;5777;5827;5847;5907;6030;6090;6148;6393;6459;647;715;76;837;845;903
Buenos Aires,1010;1017;1052;1139;1200;1217;1284;1315;1318;1322;1343;1415;1428;1457;1515;152;1539;155;1591;1600;1602;1608;1622;1662;1665;1669;168;1733;1735;1793;1796;1812;1854;1880;1936;1959;196;1970;2008;2019;2023;2041;2094;214;2148;2170;2171;2173;2196;2251;2277;2306;2331;2338;2343;2401;2416;2426;2434;250;2509;2512;2527;2587;2588;2594;2618;2642;2668;2710;2729;2731;2764;2773;28;2855;2862;2875;2950;2974;2995;3004;3016;3028;3036;3068;3072;312;3131;3132;3153;3177;3206;3241;3265;330;3331;3334;3375;3412;3450;3451;349;3526;3533;3534;3553;3566;3584;3650;3682;3683;3686;3696;3768;3800;3865;3980;404;4112;4122;414;420;4223;4240;4267;4301;4313;4380;4450;4462;4498;4511;4520;4521;4586;4598;4611;4629;464;466;468;4691;4727;4736;4737;4781;4804;4808;4830;4874;4893;4894;4896;4900;4904;492;4920;4944;5011;5025;5034;5085;5130;5161;5220;5236;5271;5280;5286;5313;5321;5338;5390;5472;5552;5554;5580;560;5642;5655;5678;5691;5779;5785;5802;5814;5942;597;6009;6020;603;6056;6064;6110;6142;6146;6177;6179;6231;6253;6364;6488;6493;6499;6516;6522;688;721;723;75;762;792;807;896;909;932;962;984
Cairo,1107;1177;1223;1354;1621;188;2209;2282;2439;2518;256;2968;3051;3071;308;3126;3277;3344;371;3721;380;392;3939;3984;4266;4291;4640;4684;4824;4877;4913;4962;5061;5317;5332;5789;5790;5935;6014;6368;6391;650;750;789;921;935
Calgary,1485;1551;2013;2071;2146;2347;2377;3267;3279;3284;442;4489;5638;920;94
Cali,1709;1804;1819;2138;2198;2693;3034;3055;3070;3086;3182;3313;3384;3390;3774;3793;3868;388;3905;4476;5160;5299;5314;5348;563;5680;5891;6008;6130;6510;717;966
Callao,1242;1488;1603;1770;1984;2086;258;3122;3869;4065;4215;4247;455;4689;4695;481;4822;4831;4850;489;6207;6320;6453;867;90;91
Cape Town,2340;2745;3634;3761
Caracas,1247;165;1741;2152;2508;2682;3160;3370;3830;4675;6239;6465
Casablanca,1728;1828;189;2814;2866;3778;3879;4441;4734;5056;508;5480
Chang Rai,1;203;3018;3032;3095;3118;3144;3809;4063;4201;4213;4560;4828;5260;5536;575;5924;5936;862
Chios,4101
Colombo,1012;1050;1171;1261;1411;1775;1830;1902;2080;2290;2345;2357;2432;2474;2596;2988;3115;3162;322;3250;3391;3488;3702;3724;3803;3887;4102;4117;4136;4152;4187;4367;4383;4444;4453;4461;4494;4602;4634;4702;4718;4754;4786;4954;4964;5066;5186;5193;5211;5404;546;5465;5549;5629;5656;5886;6010;6015;6035;6105;6158;6279;6356;6435;6439;6491
Concepcion,1219;1370;1401;1576;1697;1762;1809;1990;2035;2193;2344;2445;2530;2651;2681;2701;2791;2855;3021;3031;3035;3053;3082;3134;3233;3338;3354;3411;3425;3464;3646;3718;3817;4013;4067;4078;4138;4151;4175;4179;419;4243;4258;4345;4410;4490;4532;4612;4636;4663;4724;4803;4966;5041;5102;5121;5128;5228;5254;5266;5323;5326;5422;5423;5456;5468;5506;5854;590;5915;5955;6007;627;6365;6410;6413;6519;6521;722;723;891;924;939
Copenhagen,1014;1784;207;2468;2647;2987;3219;5222;581;5940;6485;6497
Cordoba,2008;2527;263;2893;3009;3291;4257;4284;4312;4313;4520;4781;4920;5271;5286;5788;6055;6109;6389
Cuiaba,1046;1071;1093;1165;1426;1458;2010;247;2571;2876;3389;3596;3829;4221;4282;4289;4375;4472;4526;4871;4990;5382;5510;979
Davao,1202;1280;1298;135;1499;1767;181;187;2031;2057;2177;227;2279;2304;235;2368;2397;2410;25;2611;2669;2742;2772;2817;2822;29;3015;3631;3658;3832;3878;3895;3937;3991;3993;4158;4219;4226;4274;4588;4843;4943;4984;5166;5215;5263;5285;5288;5395;5411;5518;5557;5577;567;5695;5730;5752;5932;6077;6085;6157;6181;6195;6233;6262;6308;6366;6506;660;714;774;799;801;892
Doha,1357;3903;3928;423;4242;4865;5007;5086;6069
Dublin,1129;1225;1412;1482;1663;2089;2614;2666;2671;2752;2858;2913;2983;3107;3136;3344;3579;3600;3665;4334;4605;4733;4820;5059;5136;5162;5233;5458;548;5676;5713;5876
Edmonton,1417;1438;1889;2087;2455;2781;2985;3808;396;452;471;4861;5082;6218;6327;920
Fawley,1815;2453;2823;3296;3962;5319;5826
Florence,1815;2152;2513;2738;2762;2981;3173;3681;3720;954
Fort-De-France,1035;108;1155;1363;1379;1500;1567;1695;1963;2027;206;2197;2243;2273;2320;2414;260;2734;2761;2806;2852;2951;2954;2959;2971;3058;3103;3203;3239;3253;3271;3328;341;3441;3457;3531;3547;3565;3567;375;3779;3796;3852;3995;4025;4037;4044;4094;4137;4292;440;4468;4488;4503;4509;4533;4615;4683;4909;5268;5270;5353;5432;5722;5816;5838;6017;6022;6118;6197;6227;623;6313;6375;739;812;970;997
Frankfurt,1090;1479;151;1617;1678;2952;3139;3264;3707;3739;4391;4431;467;4972;5564;6198;736;745;906
Fremantle,1169;1409;1559;1731;1833;5598;6060;674
Giza,1177;1309;1354;2282;2439;2536;2968;308;3126;3245;3344;3984;4291;4539;4604;4746;475;4824;4913;521;5482;5665;5789;6014;6368;6374;789
Guayaquil,1289;1304;1649;214;2654;2860;2874;3527;3610;3819;3872;3922;4126;427;4473;4583;4624;4686;4794;490;5023;5123;56;5791;6070;6095;6191;6350;6418;6481;66;710;80;964
Halfway Tree,1841;218;2578;2885;296;3260;3700;3812;4125;4237;4307;4369;4650;4818;4864;5053;5258;5751;6225;886
