Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
14553_3.tex,non stop regreession model greedy,True,4,6.850339412689209,9.34019573,4
15507_1.tex,non stop regreession model greedy,True,4,5.853693246841431,9.34019573,4
16152_2.tex,non stop regreession model greedy,True,4,5.94848108291626,9.34019573,4
17137_1.tex,non stop regreession model greedy,True,4,6.195125579833984,9.34019573,4
17711_1.tex,non stop regreession model greedy,True,4,5.838697195053101,9.34019573,4
17759_2.tex,non stop regreession model greedy,True,4,5.789006471633911,9.34019573,4
19867_3.tex,non stop regreession model greedy,True,4,5.97364068031311,9.34019573,4
20334_1.tex,non stop regreession model greedy,True,4,6.156488656997681,9.34019573,4
20451_3.tex,non stop regreession model greedy,True,4,5.922873258590698,9.34019573,4
20464_1.tex,non stop regreession model greedy,True,4,5.728543043136597,9.34019573,4
20796_3.tex,non stop regreession model greedy,True,4,5.763355016708374,9.34019573,4
22567_2.tex,non stop regreession model greedy,True,4,5.926089763641357,9.34019573,4
22638_3.tex,non stop regreession model greedy,True,4,5.734249114990234,9.34019573,4
22640_3.tex,non stop regreession model greedy,True,4,5.9870686531066895,9.34019573,4
22663_1.tex,non stop regreession model greedy,True,4,6.105885744094849,9.34019573,4
23070_1.tex,non stop regreession model greedy,True,4,5.774001359939575,9.34019573,4
24043_2.tex,non stop regreession model greedy,True,4,6.043097972869873,9.34019573,4
24281_2.tex,non stop regreession model greedy,True,4,6.017341613769531,9.34019573,4
25685_3.tex,non stop regreession model greedy,True,4,5.727277517318726,9.34019573,4
26323_2.tex,non stop regreession model greedy,True,4,5.879750967025757,9.34019573,4
26923_2.tex,non stop regreession model greedy,True,4,5.703691720962524,9.34019573,4
27473_2.tex,non stop regreession model greedy,True,4,5.692019701004028,9.34019573,4
27941_2.tex,non stop regreession model greedy,True,4,6.158151865005493,9.34019573,4
2906_3.tex,non stop regreession model greedy,True,4,5.562353134155273,9.34019573,4
30094_1.tex,non stop regreession model greedy,True,4,5.794456720352173,9.34019573,4
30715_3.tex,non stop regreession model greedy,True,4,5.780550241470337,9.34019573,4
31168_2.tex,non stop regreession model greedy,True,4,5.9598987102508545,9.34019573,4
32170_1.tex,non stop regreession model greedy,True,4,5.741794586181641,9.34019573,4
3238_3.tex,non stop regreession model greedy,True,4,5.57978081703186,9.34019573,4
33313_1.tex,non stop regreession model greedy,True,4,5.575824737548828,9.34019573,4
33375_3.tex,non stop regreession model greedy,True,4,9.542410612106323,9.34019573,4
34520_1.tex,non stop regreession model greedy,True,4,8.05500602722168,9.34019573,4
35591_1.tex,non stop regreession model greedy,True,4,11.466133832931519,9.34019573,4
36137_3.tex,non stop regreession model greedy,True,4,8.413019180297852,9.34019573,4
36165_2.tex,non stop regreession model greedy,True,4,6.348381042480469,9.34019573,4
36672_1.tex,non stop regreession model greedy,True,4,5.955767631530762,9.34019573,4
37755_2.tex,non stop regreession model greedy,True,4,5.786810636520386,9.34019573,4
39736_1.tex,non stop regreession model greedy,True,4,6.177751541137695,9.34019573,4
39956_1.tex,non stop regreession model greedy,True,4,6.064080238342285,9.34019573,4
