Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
130594_3.tex,regreession model greedy,True,15,36.646180152893066,94.33182426250043,15
131027_3.tex,regreession model greedy,True,15,37.71565127372742,94.33182426250043,15
131537_3.tex,regreession model greedy,True,15,37.28853631019592,94.33182426250043,15
132119_2.tex,regreession model greedy,True,15,37.81287860870361,94.33182426250043,15
133073_1.tex,regreession model greedy,True,15,37.388121366500854,94.33182426250043,15
133509_3.tex,regreession model greedy,True,15,37.06351923942566,94.33182426250043,15
133537_3.tex,regreession model greedy,True,15,44.66270899772644,94.33182426250043,15
134208_3.tex,regreession model greedy,True,15,40.37261962890625,94.33182426250043,15
135320_2.tex,regreession model greedy,True,15,38.35818910598755,94.33182426250043,15
135454_3.tex,regreession model greedy,True,15,37.85142922401428,94.33182426250043,15
137322_2.tex,regreession model greedy,True,15,37.8385283946991,94.33182426250043,15
137408_3.tex,regreession model greedy,True,15,42.95842933654785,94.33182426250043,15
137493_2.tex,regreession model greedy,True,15,46.27401065826416,94.33182426250043,15
139024_1.tex,regreession model greedy,True,15,45.7780077457428,94.33182426250043,15
139160_3.tex,regreession model greedy,True,15,46.44797897338867,94.33182426250043,15
140814_1.tex,regreession model greedy,True,15,43.294028759002686,94.33182426250043,15
141355_2.tex,regreession model greedy,True,15,47.308329820632935,94.33182426250043,15
66895_1.tex,regreession model greedy,True,15,45.19313645362854,94.33182426250043,15
68854_1.tex,regreession model greedy,True,15,42.80082821846008,94.33182426250043,15
68989_1.tex,regreession model greedy,True,15,45.46451234817505,94.33182426250043,15
69426_1.tex,regreession model greedy,True,15,41.06394290924072,94.33182426250043,15
69513_3.tex,regreession model greedy,True,15,42.67945456504822,94.33182426250043,15
70681_2.tex,regreession model greedy,True,15,41.43315887451172,94.33182426250043,15
72127_1.tex,regreession model greedy,True,15,40.75373601913452,94.33182426250043,15
72250_1.tex,regreession model greedy,True,15,39.107521295547485,94.33182426250043,15
73237_3.tex,regreession model greedy,True,15,37.99925518035889,94.33182426250043,15
73350_1.tex,regreession model greedy,True,15,39.44668364524841,94.33182426250043,15
73374_1.tex,regreession model greedy,True,15,45.374046325683594,94.33182426250043,15
73815_1.tex,regreession model greedy,True,15,38.85708236694336,94.33182426250043,15
74893_3.tex,regreession model greedy,True,15,38.55803108215332,94.33182426250043,15
74939_2.tex,regreession model greedy,True,15,39.002315044403076,94.33182426250043,15
75373_1.tex,regreession model greedy,True,15,37.97355604171753,94.33182426250043,15
75431_3.tex,regreession model greedy,True,15,36.916388750076294,94.33182426250043,15
75513_3.tex,regreession model greedy,True,15,37.663708448410034,94.33182426250043,15
77053_1.tex,regreession model greedy,True,15,37.104231119155884,94.33182426250043,15
77170_2.tex,regreession model greedy,True,15,38.76191473007202,94.33182426250043,15
77209_3.tex,regreession model greedy,True,15,38.105502128601074,94.33182426250043,15
77675_2.tex,regreession model greedy,True,15,37.06815838813782,94.33182426250043,15
78570_2.tex,regreession model greedy,True,15,40.470598220825195,94.33182426250043,15
78816_2.tex,regreession model greedy,True,15,39.4163453578949,94.33182426250043,15
79357_1.tex,regreession model greedy,True,15,37.1795608997345,94.33182426250043,15
79805_3.tex,regreession model greedy,True,15,40.16237020492554,94.33182426250043,15
79871_3.tex,regreession model greedy,True,15,38.197463035583496,94.33182426250043,15
80163_1.tex,regreession model greedy,True,15,39.21589970588684,94.33182426250043,15
81453_1.tex,regreession model greedy,True,15,39.40172004699707,94.33182426250043,15
81635_2.tex,regreession model greedy,True,15,39.176082134246826,94.33182426250043,15
81946_1.tex,regreession model greedy,True,15,39.40033507347107,94.33182426250043,15
